FileType,OuDia.JikokuhyouCsv.1
平日
下り

列車番号,,2139C,2215H,2265T,2117B,2205T,2207T,2207T,2141B,2341T,2323T,2323T,2309T,2325H,2325H,2311H,2311H,2347T,2347T,2371T,2373T,2373T,2105C,2307H,2351T,2351T,2329T,2339T,2339T,2369T,2333T,2333T,2421T,2421T,2481T,2481T,2415T,2479T,2479T,2423H,2423H,2455T
列車種別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京,着,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京,発,,2240,2247,,2253,2257,,,2302,2305,,2308,2312,,2317,,2324,,2326,2329,,,,2337,,2341,2347,,2350,2356,,006,,012,,,020,,027,,035
神田,着,,2242,2249,,2255,2259,,,2304,2307,,2310,2314,,2319,,2326,,2328,2331,,,,2339,,2343,2349,,2352,2358,,008,,014,,,022,,029,,037
神田,発,,2242,2249,,2255,2259,,,2304,2307,,2310,2314,,2319,,2326,,2328,2331,,,,2339,,2343,2349,,2352,2358,,008,,014,,,022,,029,,037
御茶ノ水,着,,2244,2251,,2258,2301,,,2306,2309,,2313,2316,,2322,,2328,,2330,2333,,,,2341,,2346,2352,,2355,001,,010,,017,,,024,,032,,043
御茶ノ水,発,,2244,2251,,2258,2301,,,2306,2309,,2313,2316,,2322,,2328,,2330,2333,,,,2341,,2346,2352,,2355,001,,010,,017,,,024,,032,,043
四ツ谷,着,,2249,2256,,2302,,,,2311,,,2317,,,,,,,2335,,,,,,,2350,,,2359,,,,,,,,,,,,
四ツ谷,発,,2249,2256,,2302,,,,2311,,,2317,,,,,,,2335,,,,,,,2350,,,2359,,,,,,,,,,,,
新宿,着,,2254,2301,,2308,,,,2316,,,2323,,,,,,,2340,,,,,,,2356,,,006,,,,,,,,,,,,
新宿,発,,2254,2301,,2308,,,,2316,,,2323,,,,,,,2340,,,,2333,,,2356,,,006,,,,,,,016,,,,,
中野,着,,2258,2306,,2312,,,,2321,,,2327,,,,,,,2344,,,,2337,,,000,,,010,,,,,,,020,,,,,
中野,発,,2258,2306,,2312,,,,2321,,,2327,,,,,,,2344,,,,2337,,,000,,,010,,,,,,,020,,,,,
高円寺,着,,2300,2308,,2314,,,,2323,,,2329,,,,,,,2346,,,,2339,,,002,,,012,,,,,,,022,,,,,
高円寺,発,,2300,2308,,2314,,,,2323,,,2329,,,,,,,2346,,,,2339,,,002,,,012,,,,,,,022,,,,,
