FileType,OuDia.JikokuhyouCsv.1
平日
下り

列車番号,,2107H,2177T,2127T,2123H
列車種別,,,,,
列車名,,,,,
号数,,,,,
,,,,,
東京,着,,,,
東京,発,2109,2122,2134,2150
神田,着,2111,2124,2136,2152
神田,発,2111,2124,2136,2152
御茶ノ水,着,2114,2126,2139,2154
御茶ノ水,発,2114,2126,2139,2154
四ツ谷,着,2119,2131,2143,2159
四ツ谷,発,2119,2131,2143,2159
新宿,着,2125,2136,2149,2205
新宿,発,2125,2136,2149,2205
中野,着,2130,2140,2154,2209
中野,発,2130,2140,2154,2209
荻窪,着,2135,2146,2159,2215
荻窪,発,2135,2146,2159,2215
吉祥寺,着,2139,2150,2203,2219
吉祥寺,発,2139,2150,2203,2219
三鷹,着,2143,2153,2206,2221
三鷹,発,2143,2153,2206,2221
国分寺,着,2150,2159,2213,2228
国分寺,発,2150,2159,2213,2228
立川,着,2158,2207,2219,2235
立川,発,2158,2207,2219,2235
日野,着,2201,2210,2222,2238
日野,発,2201,2210,2222,2238
豊田,着,2204,2213,2225,2241
豊田,発,2204,2213,2225,2241
八王子,着,2208,2217,2229,2245
八王子,発,2208,2217,2229,2245
西八王子,着,2211,2220,2232,2248
西八王子,発,2211,2220,2232,2248
高尾,着,2215,2225,2237,2253
高尾,発,,,,
備考,,,,,
