FileType,OuDia.JikokuhyouCsv.1
平日
上り

列車番号,,2102T,2060T,2164T,2114H,2104T,2140T,2106T,2122T,2148T,2124T,2162T,2162T,2270T,2210H,2228T,2228T,2146T,2146T,2272T,2272T,2206H,2250T,2250T,2238T,2226T,2226T,2232T,2268T,2268T,2220T,2322H,2322H,2380T,2380T,2314T,2278T,2278T,2330T,2330T,2354T,2354T,2316T,2316T,2302T,2464T,2408T
列車種別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高尾,着,,,,,,,,,,,,,2212,,,,,,,,,,,,,,2246,,,,,,,,,,,,,,,,,,,
高尾,発,2117,,2124,,2138,2146,,2150,,2154,,,2213,,2220,,,,,,2225,,,2238,2244,,2248,,,2255,2305,,,,2310,,,2324,,,,2338,,2359,013,031
西八王子,着,2120,,2128,,2141,2149,,2153,,2158,,,2216,,2223,,,,,,2228,,,2241,2247,,2251,,,2258,2308,,,,2313,,,2328,,,,2341,,003,016,034
西八王子,発,2120,,2128,,2141,2149,,2153,,2158,,,2216,,2223,,,,,,2228,,,2241,2247,,2251,,,2258,2308,,,,2313,,,2328,,,,2341,,003,016,034
八王子,着,2123,,2131,,2144,2152,,2158,,2202,,,2220,,2227,,,,,,2231,,,2244,2250,,2254,,,2301,2311,,,,2316,,,2331,,,,2344,,006,019,037
八王子,発,2123,,2131,,2144,2152,2148,2158,,2202,,,2220,2215,2227,,,,,,2231,,,2244,2250,,2254,,,2301,2311,,,,2316,,,2331,,,,2344,,006,019,037
豊田,着,2128,,2135,,2149,2157,2153,2203,,2206,,,2225,2219,2231,,,,,,2235,,,2249,2254,,2259,,,2306,2315,,,,2321,,,2335,,,,2349,,010,023,042
豊田,発,2128,,2135,2133,2149,2157,2153,2203,,2206,,,2225,2219,2231,,,,2222,,2235,,,2249,2254,,2259,,,2306,2315,,,,2321,,,2335,,,,2349,,010,023,042
日野,着,2130,,2138,2136,2151,2159,2155,2206,,2209,,,2227,2222,2234,,,,2225,,2238,,,2251,2257,,2301,,,2308,2318,,,,2323,,,2338,,,,2351,,013,026,044
日野,発,2130,,2138,2136,2151,2159,2155,2206,,2209,,,2227,2222,2234,,,,2225,,2238,,,2251,2257,,2301,,,2308,2318,,,,2323,,,2338,,,,2351,,013,026,044
立川,着,2134,2118,2145,2139,2156,2204,2159,2209,2153,2216,2207,,2231,2225,2238,,2220,,2228,,2241,,,2256,2300,,2305,,,2312,2322,,,,2327,2315,,2341,,,,2356,,019,030,048
