FileType,OuDia.JikokuhyouCsv.1
平日
上り

列車番号,,2139C,2107Y,2133C,2143B,2117B,2141B,2141C,2137C,2125B,2109B,2105C,2247C,2265C,2203B,2237B,2235B,2229B,2203C,2225C,2211B,2207T,2329C,2323T,2335C,2325H,2363C,2311H,2331C,2347T,2373T,2353C,2315C,2351T,2317C,2339T,2423C,2333T,2403B,2421T,2481T,2447C,2479T,2465C,2423H,2435B,2455T,2403C,2411B
列車種別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
千葉,着,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
千葉,発,2106,,,2113,2120,2128,2134,2145,2152,,2158,2210,2219,,2225,2233,2237,2241,2248,2254,,2306,,2315,,,,2326,,,2335,,,2348,,000,,008,,,017,,025,,036,,045,059
西千葉,着,2108,,,2115,2122,2130,2136,2147,2154,,2200,2212,2221,,2227,2235,2239,2243,2250,2256,,2308,,2317,,,,2329,,,2337,,,2350,,002,,010,,,019,,027,,038,,047,101
西千葉,発,2108,,,2115,2122,2130,2136,2147,2154,,2200,2212,2221,,2227,2235,2239,2243,2250,2256,,2308,,2317,,,,2329,,,2337,,,2350,,002,,010,,,019,,027,,038,,047,101
稲毛,着,2111,,,2117,2125,2132,2139,2150,2156,,2202,2215,2223,,2229,2237,2241,2245,2252,2259,,2311,,2319,,,,2331,,,2340,,,2352,,004,,012,,,021,,029,,040,,050,104
稲毛,発,2111,,,2117,2125,2132,2139,2150,2156,,2202,2215,2223,,2229,2237,2241,2245,2252,2259,,2311,,2319,,,,2331,,,2340,,,2352,,004,,012,,,021,,029,,040,,050,104
新検見川,着,2114,,,2120,2128,2135,2142,2153,2159,,2205,2218,2226,,2232,2240,2244,2248,2255,2302,,2314,,2322,,,,2334,,,2342,,,2355,,007,,015,,,024,,032,,043,,053,107
新検見川,発,2114,,,2120,2128,2135,2142,2153,2159,,2205,2218,2226,,2232,2240,2244,2248,2255,2302,,2314,,2322,,,,2334,,,2342,,,2355,,007,,015,,,024,,032,,043,,053,107
幕張,着,2116,,,2122,2130,2137,2144,2155,2201,,2207,2220,2228,,2234,2242,2246,2250,2257,2304,,2316,,2324,,,,2336,,,2345,,,2357,,009,,017,,,026,,034,,045,,055,109
幕張,発,2116,,,2122,2130,2137,2144,2155,2201,,2207,2220,2228,,2234,2242,2246,2250,2257,2304,,2316,,2324,,,,2336,,,2345,,,2357,,009,,017,,,026,,034,,045,,055,109
