FileType,OuDia.JikokuhyouCsv.1
平日
下り

列車番号,,2102C,2124C,2102B,2184Y,2128C,2110B,2144Y,2126B,2134C,2130C,2122B,2152C,2212C,2262C,2214C,2222C,2216C,2162T,2146T,2272T,2250T,2228T,2302B,2268T,2346C,2226T,2364C,2380T,2336B,2278T,2334B,2322H,2302C,2354T,2324C,2330T,2410B,2462C,2316T,2428C,2434C,2414C,2430C,2302T,2452C,2464T
列車種別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三鷹,着,,,,,,,,,,,,,,,,,,2231,2240,2247,2253,2300,,2310,,2318,,2326,,2333,,2340,,2349,,2358,,,015,,,,,036,,047
三鷹,発,2100,2106,,2114,2122,,2129,,2135,2141,,2154,2202,,2214,2221,,2231,2240,2247,2253,2300,,2310,,2318,,2326,,2333,,2340,,2349,,2358,,,015,,,,,036,,047
吉祥寺,着,2103,2108,,2116,2124,,2131,,2138,2144,,2157,2205,,2216,2223,,2233,2243,2250,2256,2303,,2312,,2321,,2329,,2336,,2343,,2352,,001,,,017,,,,,039,,050
吉祥寺,発,2103,2108,,2116,2124,,2131,,2138,2144,,2157,2205,,2216,2223,,2233,2243,2250,2256,2303,,2312,,2321,,2329,,2336,,2343,,2352,,001,,,017,,,,,039,,050
西荻窪,着,2105,2111,,2119,2127,,2134,,2140,2146,,2159,2207,,2219,2226,,2235,2245,2252,2258,2305,,2315,,2323,,2331,,2338,,2345,,2354,,003,,,020,,,,,041,,052
西荻窪,発,2105,2111,,2119,2127,,2134,,2140,2146,,2159,2207,,2219,2226,,2235,2245,2252,2258,2305,,2315,,2323,,2331,,2338,,2345,,2354,,003,,,020,,,,,041,,052
荻窪,着,2108,2113,,2121,2129,,2136,,2143,2149,,2202,2210,,2221,2228,,2238,2247,2254,2300,2307,,2317,,2326,,2333,,2340,,2347,,2356,,006,,,022,,,,,044,,054
荻窪,発,2108,2113,,2121,2129,,2136,,2143,2149,,2202,2210,,2221,2228,,2238,2247,2254,2300,2307,,2317,,2326,,2333,,2340,,2347,,2356,,006,,,022,,,,,044,,054
阿佐ヶ谷,着,2110,2115,,2124,2131,,2138,,2145,2151,,2204,2212,,2223,2230,,2240,2249,2256,2302,2310,,2319,,2328,,2336,,2342,,2349,,2359,,008,,,024,,,,,046,,057
阿佐ヶ谷,発,2110,2115,,2124,2131,,2138,,2145,2151,,2204,2212,,2223,2230,,2240,2249,2256,2302,2310,,2319,,2328,,2336,,2342,,2349,,2359,,008,,,024,,,,,046,,057
