FileType,OuDia.JikokuhyouCsv.1
平日
上り

列車番号,,2118T,2208T,2276T
列車種別,,,,
列車名,,,,
号数,,,,
,,,,
高尾,着,2127,,
高尾,発,2131,2206,2230
西八王子,着,2134,2209,2233
西八王子,発,2134,2209,2233
八王子,着,2138,2212,2236
八王子,発,2138,2212,2236
豊田,着,2143,2217,2240
豊田,発,2143,2217,2240
日野,着,2145,2219,2243
日野,発,2145,2219,2243
立川,着,2149,2223,2246
立川,発,2149,2223,2246
国分寺,着,2154,2229,2252
国分寺,発,2154,2229,2252
三鷹,着,2201,2236,2259
三鷹,発,2201,2236,2259
中野,着,2212,2247,2310
中野,発,2212,2247,2310
新宿,着,2217,2251,2315
新宿,発,2218,2251,2315
四ツ谷,着,2222,2255,2319
四ツ谷,発,2222,2255,2319
御茶ノ水,着,2227,2300,2324
御茶ノ水,発,2227,2300,2324
神田,着,2230,2303,2326
神田,発,2230,2303,2326
東京,着,2232,2305,2328
東京,発,,,
備考,,,,
