FileType,OuDia.JikokuhyouCsv.1
平日
上り

列車番号,,468M,472M,778M,474M,2470M,782M,584M,476M,580M
列車種別,,,,,,,,,,
列車名,,,,,,,,,,
号数,,,,,,,,,,
,,,,,,,,,,
いわき,着,,,,,,,,,
いわき,発,,,,,,,2203,,
内郷,着,,,,,,,2207,,
内郷,発,,,,,,,2208,,
湯本,着,,,,,,,2211,,
湯本,発,,,,,,,2212,,
泉,着,,,,,,,2217,,
泉,発,,,,,,,2217,,
植田,着,,,,,,,2223,,
植田,発,,,,,,,2223,,
勿来,着,,,,,,,2227,,
勿来,発,,,,,,,2228,,
大津港,着,,,,,,,2232,,
大津港,発,,,,,,,2232,,
磯原,着,,,,,,,2237,,
磯原,発,,,,,,,2238,,
南中郷,着,,,,,,,2242,,
南中郷,発,,,,,,,2242,,
高萩,着,,,,,,,2246,,
高萩,発,,,,,,,2247,,
十王,着,,,,,,,2252,,
十王,発,,,,,,,2252,,
小木津,着,,,,,,,2256,,
小木津,発,,,,,,,2257,,
日立,着,,,,,,,2301,,
日立,発,,,,,,,2301,2208,
常陸多賀,着,,,,,,,2305,2212,
常陸多賀,発,,,,,,,2306,2213,
大甕,着,,,,,,,2310,2217,
大甕,発,,,,,,,2310,2217,
東海,着,,,,,,,2316,2223,
東海,発,,,,,,,2317,2223,
佐和,着,,,,,,,2321,2227,
佐和,発,,,,,,,2321,2227,
勝田,着,,,,,,,2325,2231,
勝田,発,,2102,,2140,,2203,2326,2232,
水戸,着,,2108,,2146,,2210,2331,2238,
水戸,発,2100,2130,2110,2156,,2230,2335,2240,2213
赤塚,着,2105,2135,2116,2201,,2236,2340,2245,2219
赤塚,発,2106,2136,2116,2201,,2236,2341,2245,2219
内原,着,2110,2140,2121,2205,,2241,2345,2249,2224
内原,発,2110,2140,2121,2206,,2242,2345,2250,2224
友部,着,2114,2144,2126,2209,,2247,2349,2254,2228
友部,発,2114,2144,2140,2210,,2248,2349,2254,2229
岩間,着,2119,2149,,2215,,,2354,2259,2234
岩間,発,2120,2150,,2215,,,2355,2259,2234
羽鳥,着,2123,2153,,2219,,,2358,2303,2238
羽鳥,発,2124,2154,,2219,,,2359,2304,2239
石岡,着,2128,2158,,2224,,,004,2308,2244
石岡,発,2129,2159,,2224,,,004,2309,2244
高浜,着,2132,2202,,2228,,,007,2312,2248
高浜,発,2133,2203,,2228,,,008,2312,2248
神立,着,2137,2207,,2233,,,013,2317,2253
神立,発,2138,2208,,2233,,,013,2318,2254
土浦,着,2143,2213,,2238,,,018,2323,2300
土浦,発,2144,2214,,2239,2202,,,2325,
荒川沖,着,2149,2218,,2244,2208,,,2330,
荒川沖,発,2149,2219,,2244,2208,,,2330,
ひたち野うしく,着,2152,2221,,2247,2211,,,2333,
ひたち野うしく,発,2152,2222,,2247,2211,,,2333,
牛久,着,2156,2225,,2251,2215,,,2337,
牛久,発,2156,2226,,2251,2216,,,2338,
佐貫,着,2200,2230,,2255,2219,,,2341,
佐貫,発,2201,2236,,2255,2220,,,2342,
藤代,着,2203,2238,,2257,2222,,,2344,
藤代,発,2204,2239,,2258,2223,,,2345,
取手,着,2209,2243,,2302,2228,,,2350,
取手,発,2213,2244,,2303,2229,,,2350,
天王台,着,2216,2247,,2306,2232,,,2353,
天王台,発,2217,2247,,2306,2233,,,2354,
我孫子,着,2219,2250,,2309,2236,,,2357,
我孫子,発,2220,2250,,2309,2237,,,,
柏,着,2224,2254,,2313,2241,,,,
柏,発,2225,2255,,2314,2242,,,,
松戸,着,2232,2303,,2322,2250,,,,
松戸,発,2233,2303,,2322,2255,,,,
北千住,着,2241,2311,,2330,2304,,,,
北千住,発,2241,2312,,2331,2305,,,,
南千住,着,2244,2314,,2333,2307,,,,
南千住,発,2244,2314,,2333,2307,,,,
三河島,着,2247,2317,,2336,2310,,,,
三河島,発,2247,2318,,2336,2310,,,,
日暮里,着,2249,2320,,2338,2312,,,,
日暮里,発,2250,2320,,2338,2313,,,,
上野,着,2253,2324,,2342,2316,,,,
上野,発,,,,,,,,,
備考,,,,,,,,,,
