FileType,OuDia.JikokuhyouCsv.1
平日
下り

列車番号,,1257M,581M,771M,459M,1261M,463M,1265M,583M,467M,1269M,585M,1271M,2473M
列車種別,,,,,,,,,,,,,,
列車名,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
上野,着,2108,,,,2138,,2209,,,2248,,2309,
上野,発,2110,,,2124,2140,2154,2210,,2224,2249,,2312,2342
日暮里,着,2113,,,2126,2143,2157,2213,,2227,2252,,2315,2345
日暮里,発,2113,,,2127,2144,2158,2213,,2228,2252,,2315,2346
三河島,着,2115,,,2129,2146,2159,2215,,2230,2254,,2317,2347
三河島,発,2116,,,2130,2146,2200,2216,,2230,2255,,2318,2348
南千住,着,2118,,,2132,2149,2202,2218,,2233,2257,,2321,2351
南千住,発,2119,,,2133,2149,2203,2219,,2233,2258,,2321,2351
北千住,着,2121,,,2135,2151,2205,2221,,2236,2300,,2323,2353
北千住,発,2121,,,2140,2152,2209,2221,,2240,2300,,2324,2354
松戸,着,2129,,,2148,2201,2217,2229,,2248,2308,,2332,002
松戸,発,2130,,,2148,2201,2218,2230,,2249,2309,,2332,002
柏,着,2138,,,2156,2209,2226,2238,,2257,2316,,2340,010
柏,発,2138,,,2157,2210,2226,2238,,2258,2317,,2341,011
我孫子,着,2142,,,2201,2214,2230,2242,,2302,2321,,2345,015
我孫子,発,2143,,,2201,2215,2231,2243,,2302,2321,,2345,015
天王台,着,2145,,,2204,2217,2233,2245,,2305,2324,,2348,018
天王台,発,2146,,,2204,2218,2234,2246,,2305,2324,,2348,018
取手,着,2149,,,2207,2222,2237,2249,,2308,2328,,2351,022
取手,発,2149,,,2208,2227,2237,2249,,2309,2332,,2352,022
藤代,着,2153,,,2212,2232,2242,2253,,2313,2338,,2356,026
藤代,発,2154,,,2212,2232,2242,2254,,2313,2338,,2357,027
佐貫,着,2157,,,2215,2235,2245,2257,,2316,2341,,000,029
佐貫,発,2158,,,2216,2235,2246,2258,,2317,2342,,001,030
牛久,着,2202,,,2220,2240,2250,2302,,2321,2346,,005,033
牛久,発,2202,,,2221,2240,2251,2302,,2322,2347,,005,034
ひたち野うしく,着,2206,,,2224,2243,2254,2306,,2325,2350,,009,037
ひたち野うしく,発,2216,,,2225,2244,2254,2314,,2326,2350,,009,038
荒川沖,着,2218,,,2227,2246,2257,2317,,2328,2353,,012,040
荒川沖,発,2219,,,2228,2247,2257,2318,,2329,2353,,012,041
土浦,着,2224,,,2233,2252,2303,2323,,2334,2359,,017,046
土浦,発,,,,2238,,2308,,,2339,,,022,
神立,着,,,,2243,,2313,,,2343,,,027,
神立,発,,,,2250,,2313,,,2344,,,027,
高浜,着,,,,2255,,2318,,,2349,,,032,
高浜,発,,,,2256,,2319,,,2349,,,032,
石岡,着,,,,2259,,2322,,,2352,,,036,
石岡,発,,,,2259,,2323,,,2353,,,036,
羽鳥,着,,,,2304,,2329,,,2359,,,041,
羽鳥,発,,,,2305,,2335,,,008,,,041,
岩間,着,,,,2309,,2340,,,012,,,045,
岩間,発,,,,2309,,2341,,,013,,,046,
友部,着,,,2123,2314,,2348,,,017,,,051,
友部,発,,,2124,2315,,2349,,,018,,,051,
内原,着,,,2129,2318,,2353,,,021,,,055,
内原,発,,,2129,2319,,2354,,,022,,,055,
赤塚,着,,,2135,2323,,2358,,,026,,,059,
赤塚,発,,,2139,2323,,2358,,,026,,,100,
水戸,着,,,2145,2329,,004,,,032,,,105,
水戸,発,,2111,2146,2332,,006,,2214,034,,2300,109,
勝田,着,,2116,2151,2337,,011,,2220,039,,2305,115,
勝田,発,,2117,,2338,,,,2226,,,2306,,
佐和,着,,2121,,2341,,,,2229,,,2309,,
佐和,発,,2121,,2342,,,,2230,,,2310,,
東海,着,,2125,,2345,,,,2233,,,2314,,
東海,発,,2125,,2346,,,,2234,,,2314,,
大甕,着,,2131,,2351,,,,2239,,,2320,,
大甕,発,,2131,,2351,,,,2240,,,2320,,
常陸多賀,着,,2135,,2355,,,,2244,,,2324,,
常陸多賀,発,,2136,,2356,,,,2244,,,2324,,
日立,着,,2140,,000,,,,2248,,,2328,,
日立,発,,2140,,001,,,,2249,,,2329,,
小木津,着,,2145,,005,,,,2253,,,2333,,
小木津,発,,2145,,005,,,,2253,,,2333,,
十王,着,,2149,,009,,,,2257,,,2337,,
十王,発,,2150,,009,,,,2258,,,2338,,
高萩,着,,2155,,015,,,,2303,,,2342,,
高萩,発,,2155,,,,,,,,,2343,,
南中郷,着,,2200,,,,,,,,,2346,,
南中郷,発,,2200,,,,,,,,,2347,,
磯原,着,,2204,,,,,,,,,2351,,
磯原,発,,2205,,,,,,,,,2351,,
大津港,着,,2210,,,,,,,,,2357,,
大津港,発,,2211,,,,,,,,,,,
勿来,着,,2215,,,,,,,,,,,
勿来,発,,2215,,,,,,,,,,,
植田,着,,2219,,,,,,,,,,,
植田,発,,2220,,,,,,,,,,,
泉,着,,2226,,,,,,,,,,,
泉,発,,2226,,,,,,,,,,,
湯本,着,,2232,,,,,,,,,,,
湯本,発,,2232,,,,,,,,,,,
内郷,着,,2236,,,,,,,,,,,
内郷,発,,2236,,,,,,,,,,,
いわき,着,,2242,,,,,,,,,,,
いわき,発,,,,,,,,,,,,,
備考,,,,,,,,,,,,,,
