FileType,OuDia.JikokuhyouCsv.1
平日
上り

列車番号,,2150E,2126S,2120S,2143E,2158E,2114K,2134K,2146S,2130S,2104S,2202K,2224S,2212S,2216K,2214S,2208K,2246E,2344S,2316S,2348S,2360S,2312K,2414K,2402K
列車種別,,,,,,,,,,,,,,,,,,,,,,,,,
列車名,,,,,,,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
取手,着,,,,,,,,,,,,,,,,,,,,,,,,
取手,発,,,,,,,,,,,,,,,,,,,,,,,,
天王台,着,,,,,,,,,,,,,,,,,,,,,,,,
天王台,発,,,,,,,,,,,,,,,,,,,,,,,,
我孫子,着,,,,,,,,,,,,,,,,,,,,,,,,
我孫子,発,2109,,2115,2125,,2130,2137,2143,2150,2157,2204,2211,2219,2226,2234,2241,2250,2300,2310,2321,2334,2356,012,056
北柏,着,2112,,2118,2128,,2133,2140,2146,2153,2200,2207,2214,2222,2229,2237,2244,2253,2303,2313,2324,2337,2359,015,059
北柏,発,2112,,2118,2128,,2133,2140,2146,2153,2200,2207,2214,2222,2229,2237,2244,2253,2303,2313,2324,2337,2359,015,059
柏,着,2116,,2121,2133,,2138,2143,2149,2156,2203,2210,2217,2225,2232,2240,2247,2256,2306,2316,2327,2340,002,018,101
柏,発,2116,2111,2121,2133,2127,2138,2143,2149,2156,2203,2210,2217,2225,2232,2240,2247,2256,2306,2316,2327,2340,002,018,101
南柏,着,2118,2114,2124,2135,2130,2141,2145,2152,2159,2206,2213,2220,2227,2235,2242,2250,2258,2308,2318,2329,2343,004,020,104
南柏,発,2118,2114,2124,2135,2130,2141,2145,2152,2159,2206,2213,2220,2227,2235,2242,2250,2258,2308,2318,2329,2343,004,020,104
北小金,着,2121,2116,2126,2138,2132,2143,2148,2154,2201,2208,2215,2222,2230,2237,2245,2252,2301,2311,2321,2332,2345,007,023,107
北小金,発,2121,2116,2126,2138,2132,2143,2148,2154,2201,2208,2215,2222,2230,2237,2245,2252,2301,2311,2321,2332,2345,007,023,107
新松戸,着,2123,2119,2129,2140,2135,2146,2150,2157,2204,2211,2218,2225,2232,2240,2247,2255,2303,2313,2323,2334,2348,009,025,109
新松戸,発,2123,2119,2129,2140,2135,2146,2150,2157,2204,2211,2218,2225,2232,2240,2247,2255,2303,2313,2323,2334,2348,009,025,109
馬橋,着,2125,2121,2131,2142,2137,2148,2152,2159,2206,2213,2220,2227,2234,2242,2249,2257,2305,2315,2325,2336,2350,011,027,111
馬橋,発,2125,2121,2131,2142,2137,2148,2152,2159,2206,2213,2220,2227,2234,2242,2249,2257,2305,2315,2325,2336,2350,011,027,111
北松戸,着,2127,2123,2133,2144,2139,2150,2154,2201,2208,2215,2222,2229,2236,2244,2251,2259,2307,2317,2327,2338,2352,013,029,113
北松戸,発,2127,2123,2133,2144,2139,2150,2154,2201,2208,2215,2222,2229,2236,2244,2251,2259,2307,2317,2327,2338,2352,013,029,113
松戸,着,2131,2126,2136,2147,2142,2153,2158,2204,2211,2218,2225,2232,2239,2247,2255,2302,2310,2320,2330,2341,2355,017,032,116
松戸,発,2131,2126,2136,2147,2142,2153,2158,2204,2211,2218,2225,2232,2239,2247,2255,2302,2310,2320,2330,2341,2355,017,,
金町,着,2135,2130,2139,2151,2145,2156,2201,2207,2214,2221,2228,2235,2243,2250,2258,2305,2314,2324,2334,2345,2358,021,,
金町,発,2135,2130,2139,2151,2145,2156,2201,2207,2214,2221,2228,2235,2243,2250,2258,2305,2314,2324,2334,2345,2358,021,,
亀有,着,2137,2132,2142,2153,2148,2159,2204,2210,2217,2224,2231,2238,2245,2253,2301,2308,2316,2326,2336,2347,001,023,,
亀有,発,2137,2132,2142,2153,2148,2159,2204,2210,2217,2224,2231,2238,2245,2253,2301,2308,2316,2326,2336,2347,001,023,,
綾瀬,着,2141,2135,2147,2157,2151,2202,2207,2213,2220,2228,2234,2242,2250,2257,2304,2312,2320,2331,2342,2351,005,027,,
綾瀬,発,2141,2135,2147,2157,2151,2202,2207,2213,2220,2228,2234,2242,2250,2257,2304,2312,2320,2331,2342,2351,005,027,,
備考,,,,,,,,,,,,,,,,,,,,,,,,,
