FileType,OuDia.JikokuhyouCsv.1
平日
下り

列車番号,,2047S,2031S,1905S,2003K,2025S,2013S,1917K,2115S,1909K,2129K,1947E,2145S,2117S,2049S,2125K,2205K,2061S,2213K,2231K,2215K,2235K,2211K,2303K,2325S,2223S,2317K,2409K,113K
列車種別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
綾瀬,着,2103,2109,2116,2121,2126,2133,2143,2154,2159,2205,2212,2225,2231,2239,2246,2252,2259,2308,2318,2329,2336,2346,000,009,017,025,041,107
綾瀬,発,2105,2111,2118,2124,2130,2137,2145,2155,2201,2208,2215,2226,2232,2240,2247,2253,2300,2309,2319,2329,2338,2346,001,010,018,026,041,108
亀有,着,2107,2113,2120,2127,2133,2140,2147,2157,2203,2210,2218,2228,2235,2243,2249,2256,2303,2311,2321,2332,2341,2349,003,013,021,029,044,110
亀有,発,2107,2113,2120,2127,2133,2140,2147,2157,2203,2210,2218,2228,2235,2243,2249,2256,2303,2311,2321,2332,2341,2349,003,013,021,029,044,110
金町,着,2110,2116,2123,2129,2135,2142,2150,2200,2206,2213,2220,2231,2237,2245,2252,2258,2305,2314,2324,2334,2343,2351,006,015,023,031,046,113
金町,発,2110,2116,2123,2129,2135,2142,2150,2200,2206,2213,2220,2231,2237,2245,2252,2258,2305,2314,2324,2334,2343,2351,006,015,023,031,046,113
松戸,着,2114,2120,2127,2134,2141,2147,2155,2203,2210,2217,2225,2234,2241,2249,2255,2302,2309,2318,2328,2338,2347,2357,009,021,028,035,055,117
松戸,発,2114,2120,2127,2134,2141,2147,2155,2203,2210,2217,2225,2234,2241,2249,2255,2302,2309,2318,2328,2338,2347,2357,009,021,,035,055,
北松戸,着,2117,2123,2129,2136,2143,2150,2157,2206,2212,2219,2227,2237,2243,2251,2258,2304,2312,2320,2330,2341,2350,000,012,023,,037,058,
北松戸,発,2117,2123,2129,2136,2143,2150,2157,2206,2212,2219,2227,2237,2243,2251,2258,2304,2312,2320,2330,2341,2350,000,012,023,,037,058,
馬橋,着,2119,2125,2131,2138,2145,2152,2159,2208,2214,2221,2229,2239,2245,2253,2300,2306,2314,2322,2332,2343,2352,002,014,025,,039,100,
馬橋,発,2119,2125,2131,2138,2145,2152,2159,2208,2214,2221,2229,2239,2245,2253,2300,2306,2314,2322,2332,2343,2352,002,014,025,,039,100,
新松戸,着,2121,2127,2134,2141,2147,2154,2201,2210,2216,2223,2231,2241,2248,2256,2302,2309,2316,2324,2334,2346,2354,004,016,027,,042,102,
新松戸,発,2121,2127,2134,2141,2147,2154,2201,2210,2216,2223,2231,2241,2248,2256,2302,2309,2316,2324,2334,2346,2354,004,016,027,,042,102,
北小金,着,2123,2129,2136,2142,2149,2156,2203,2212,2218,2225,2233,2243,2250,2258,2304,2311,2318,2326,2336,2348,2356,006,018,029,,044,104,
北小金,発,2123,2129,2136,2142,2149,2156,2203,2212,2218,2225,2233,2243,2250,2258,2304,2311,2318,2326,2336,2348,2356,006,018,029,,044,104,
南柏,着,2126,2132,2138,2145,2152,2159,2206,2215,2221,2228,2236,2246,2252,2300,2307,2313,2321,2329,2339,2351,2359,009,021,032,,046,107,
南柏,発,2126,2132,2138,2145,2152,2159,2206,2215,2221,2228,2236,2246,2252,2300,2307,2313,2321,2329,2339,2351,2359,009,021,032,,046,107,
柏,着,2129,2135,2141,2148,2155,2202,2209,2218,2224,2231,2239,2249,2255,2303,2310,2316,2324,2332,2342,2354,002,012,024,035,,049,110,
柏,発,2129,2135,2141,2148,2155,2202,2209,2218,2224,2231,2239,2249,2255,2303,2310,2316,2324,2332,2342,2354,002,012,024,035,,049,110,
北柏,着,2131,2137,2144,2151,2158,2204,2212,2221,2227,2234,2242,2252,2258,2306,2313,2319,2326,2335,2345,2357,004,014,027,038,,052,112,
北柏,発,2131,2137,2144,2151,2158,2204,2212,2221,2227,2234,2242,2252,2258,2306,2313,2319,2326,2335,2345,2357,004,014,027,038,,052,112,
我孫子,着,2134,2140,2147,2154,2200,2207,2214,2224,2229,2237,2245,2255,2301,2309,2315,2322,2329,2338,2347,2359,007,017,030,040,,055,115,
我孫子,発,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天王台,着,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天王台,発,,,,,,,,,,,,,,,,,,,,,,,,,,,,
取手,着,,,,,,,,,,,,,,,,,,,,,,,,,,,,
取手,発,,,,,,,,,,,,,,,,,,,,,,,,,,,,
備考,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
