FileType,OuDia.JikokuhyouCsv.1
平日
上り

列車番号,,2130H,2156H,2188H,2162H,2290H,2282H,2294H,2284H,2266H,2356H,2340H,2388H,2362H,2390H,2482H,2494H,2484H,2456H
列車種別,,,,,,,,,,,,,,,,,,,
列車名,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
取手,着,,,,,,,,,,,,,,,,,,
取手,発,2103,2112,2132,2154,2201,2217,,2254,,2311,2322,2333,2346,2355,008,023,036,047
天王台,着,2107,2116,2136,2158,2205,2222,,2258,,2315,2326,2338,2350,2359,012,027,040,051
天王台,発,2107,2116,2136,2158,2205,2222,,2258,,2315,2326,2338,2350,2359,012,027,040,051
我孫子,着,2116,2122,2145,2201,2209,2225,2226,2301,2256,2318,2329,2341,2353,003,015,030,044,055
我孫子,発,2116,2122,2145,2201,2209,2225,2232,2301,2257,2318,2329,2341,2353,003,015,030,044,055
柏,着,2121,2127,2149,2206,2213,2230,2237,2306,2302,2323,2334,2346,2358,007,020,035,048,059
柏,発,2121,2127,2149,2206,2213,2230,2237,2306,2302,2323,2334,2346,2358,007,020,035,048,059
松戸,着,2130,2136,2158,2215,2225,2239,2246,2315,2310,2332,2343,2355,007,017,029,044,057,108
松戸,発,2130,2136,2158,2215,2225,2239,2246,2315,2310,2332,2343,2355,007,017,029,,,
北千住,着,2139,2145,2207,2223,2234,2247,2259,2323,2319,2341,2352,003,015,025,038,,,
北千住,発,2139,2145,2207,2223,2234,2247,2259,2323,2319,2341,2352,003,015,025,038,,,
南千住,着,2141,2147,2209,2226,2236,2250,2302,2326,2321,2343,2354,006,018,028,040,,,
南千住,発,2141,2147,2209,2226,2236,2250,2302,2326,2321,2343,2354,006,018,028,040,,,
三河島,着,2144,2150,2212,2229,2239,2253,2305,2329,2324,2346,2357,009,021,031,043,,,
三河島,発,2144,2150,2212,2229,2239,2253,2305,2329,2324,2346,2357,009,021,031,043,,,
日暮里,着,2147,2153,2215,2231,2242,2255,2308,2331,2327,2349,000,011,023,033,046,,,
日暮里,発,2147,2153,2215,2231,2242,2255,2308,2331,2327,2349,000,011,023,033,046,,,
上野,着,2151,2156,2218,2234,2245,2258,2311,2334,2330,2352,003,014,026,036,049,,,
上野,発,2151,,,,,,,,,,,,,,,,,
備考,,,,,,,,,,,,,,,,,,,
