FileType,OuDia.JikokuhyouCsv.1
平日
下り

列車番号,,2191H,2183H,2185H,2181H,2257H,2241H,2289H,2231H,2263H,2391H,2383H,2395H,2367H,2385H,2457H,2441H,2489H,2463H,2491H
列車種別,,,,,,,,,,,,,,,,,,,,
列車名,,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
上野,着,,2119,,2148,,2218,,2239,,,,,,,,,,,
上野,発,2102,2119,2133,2148,2203,2218,2233,2239,2255,2306,2320,2327,2335,2349,000,011,023,034,051
日暮里,着,2105,2123,2136,2151,2206,2221,2236,2242,2258,2309,2323,2330,2338,2352,003,014,026,037,054
日暮里,発,2105,2123,2136,2151,2206,2221,2236,2242,2258,2309,2323,2330,2338,2352,003,014,026,037,054
三河島,着,2108,2125,2138,2153,2208,2223,2238,2244,2300,2311,2325,2332,2341,2354,005,016,028,039,056
三河島,発,2108,2125,2138,2153,2208,2223,2238,2244,2300,2311,2325,2332,2341,2354,005,016,028,039,056
南千住,着,2111,2128,2141,2156,2211,2226,2241,2247,2303,2314,2328,2335,2344,2357,008,019,031,042,059
南千住,発,2111,2128,2141,2156,2211,2226,2241,2247,2303,2314,2328,2335,2344,2357,008,019,031,042,059
北千住,着,2113,2130,2144,2159,2213,2229,2243,2251,2309,2317,2331,2338,2346,2359,011,021,035,044,102
北千住,発,2113,2130,2144,2159,2213,2229,2243,2251,2309,2317,2331,2338,2346,2359,011,021,035,044,102
松戸,着,2122,2140,2154,2213,2223,2238,2253,2301,2318,2326,2340,2348,2355,008,020,031,044,054,110
松戸,発,2122,2140,2154,2213,2223,2238,2253,2301,2318,2326,2340,2348,2355,008,020,031,044,054,
柏,着,2131,2148,2202,2222,2231,2246,2301,2309,2326,2334,2348,2356,004,017,028,039,052,103,
柏,発,2131,2148,2202,2222,2231,2246,2301,2309,2326,2334,2348,2356,004,017,028,039,052,103,
我孫子,着,2136,2157,2209,2227,2236,2256,2307,2314,2331,2339,2353,004,009,021,033,043,058,107,
我孫子,発,2136,2157,2209,2240,2236,2256,2307,2323,2331,2339,2353,004,009,021,033,043,058,,
天王台,着,2139,2200,2212,,2239,2300,2310,,2334,2342,2356,007,012,025,036,047,101,,
天王台,発,2139,2200,2212,,2239,2300,2310,,2334,2342,2356,007,012,025,036,047,101,,
取手,着,2143,2204,2216,,2243,2304,2314,,2338,2346,000,011,016,029,040,051,105,,
取手,発,,,,,,,,,,,,,,,,,,,
備考,,,,,,,,,,,,,,,,,,,,
