FileType,OuDia.JikokuhyouCsv.1
平日
上り

列車番号,,2128A,2142B,2132A,2116B,2122C,2126A,2141K,2244B,2114C,2126B,2262A,2226C,2218B,2240A,2222A,2248A,2232B,2214B,2306A,2206B,2315K,2204C,2346A,2330C,2338A,2338C,2438B
列車種別,,,,,,,,,,,,,,,,,,,,,,,,,,,,
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
横浜,着,2137,2142,2147,2150,2157,2200,2204,2207,2213,2219,2224,2231,2237,2243,2249,2255,2301,2307,2313,2318,2326,2328,2335,2342,000,018,039
横浜,発,2137,2142,2147,2150,2157,2200,2204,2207,2213,2219,2224,2231,2237,2243,2249,2255,2301,2307,2313,2318,2326,2328,2335,2342,000,018,039
東神奈川,着,2140,2145,2150,2154,2200,2204,2208,2210,2216,2222,2227,2234,2240,2246,2252,2258,2304,2310,2316,2321,2332,2331,2338,2346,004,021,042
東神奈川,発,2140,2145,2150,2154,2200,2204,2208,2210,2216,2222,2227,2234,2240,2246,2252,2258,2304,2310,2316,2321,2332,2331,2338,2346,004,021,042
新子安,着,2143,2148,2153,2157,2203,2207,,2213,2219,2225,2230,2237,2243,2249,2255,2301,2307,2313,2319,2324,,2334,2341,2349,007,024,045
新子安,発,2143,2148,2153,2157,2203,2207,,2213,2219,2225,2230,2237,2243,2249,2255,2301,2307,2313,2319,2324,,2334,2341,2349,007,024,045
鶴見,着,2146,2151,2156,2201,2206,2211,,2216,2222,2228,2234,2240,2246,2252,2258,2304,2310,2316,2323,2328,,2337,2345,2353,010,028,049
鶴見,発,2146,2151,2156,2201,2206,2211,,2216,2222,2228,2234,2240,2246,2252,2258,2304,2310,2316,2323,2328,,2337,2345,2353,010,028,049
川崎,着,2150,2155,2200,2204,2210,2214,,2220,2226,2232,2237,2244,2250,2256,2302,2308,2314,2320,2326,2332,,2341,2349,2356,014,031,052
川崎,発,2150,2155,2200,2204,2210,2214,,2220,2226,2232,2237,2244,2250,2256,2302,2308,2314,2320,2326,2332,,2341,2349,2356,014,031,052
蒲田,着,2155,2200,2205,2210,2215,2220,,2225,2231,2237,2243,2249,2255,2301,2307,2313,2319,2325,2331,2337,,2347,2354,001,019,036,057
蒲田,発,2155,2200,2205,2210,2215,2220,,2225,2231,2237,2243,2249,2255,2301,2307,2313,2319,2325,2331,2337,,2347,2354,001,019,036,
大森,着,2158,2203,2208,2213,2218,2223,,2228,2234,2240,2246,2252,2258,2304,2310,2316,2322,2328,2334,2340,,2350,2358,005,022,040,
大森,発,2158,2203,2208,2213,2218,2223,,2228,2234,2240,2246,2252,2258,2304,2310,2316,2322,2328,2334,2340,,2350,2358,005,022,040,
