FileType,OuDia.JikokuhyouCsv.1
平日
下り

列車番号,,2169A,2119B,2119A,2133B,2123A,2117C,2107A,2139A,2101B,2147A,2139C,2139B,2209B,2237A,2215A,2203C,2225B,2225A,2235C,2207C,2203A,2367A,2214K,2325C,2329A,2317A,2343B,2333A,2323C,2327A,2315C,2327B,2419B,2449A
列車種別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大宮,着,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大宮,発,2102,,2111,2117,,2125,2132,,2142,2149,,2155,2202,2208,2214,2220,2226,2232,2243,,2250,2300,,2306,,2314,2323,2328,2336,2343,2351,2358,014,030
さいたま新都心,着,2105,,2114,2120,,2128,2135,,2145,2152,,2158,2205,2211,2217,2223,2229,2235,2246,,2253,2303,,2309,,2317,2325,2331,2338,2346,2354,001,016,033
さいたま新都心,発,2105,,2114,2120,,2128,2135,,2145,2152,,2158,2205,2211,2217,2223,2229,2235,2246,,2253,2303,,2309,,2317,2325,2331,2338,2346,2354,001,016,033
与野,着,2107,,2116,2122,,2130,2137,,2147,2154,,2200,2207,2213,2219,2225,2231,2237,2248,,2255,2305,,2311,,2319,2327,2333,2340,2348,2356,003,018,035
与野,発,2107,,2116,2122,,2130,2137,,2147,2154,,2200,2207,2213,2219,2225,2231,2237,2248,,2255,2305,,2311,,2319,2327,2333,2340,2348,2356,003,018,035
北浦和,着,2109,,2118,2124,,2132,2139,,2149,2156,,2202,2209,2215,2221,2227,2233,2239,2250,,2257,2307,,2313,,2321,2330,2335,2343,2350,2358,005,021,037
北浦和,発,2109,,2118,2124,,2132,2139,,2149,2156,,2202,2209,2215,2221,2227,2233,2239,2250,,2257,2307,,2313,,2321,2330,2335,2343,2350,2358,005,021,037
浦和,着,2112,,2121,2127,,2135,2142,,2152,2159,,2205,2212,2218,2224,2230,2236,2242,2253,,2300,2310,,2316,,2324,2332,2338,2345,2353,001,008,023,040
浦和,発,2112,,2121,2127,,2135,2142,,2152,2159,,2205,2212,2218,2224,2230,2236,2242,2253,,2300,2310,,2316,,2324,2332,2338,2345,2353,001,008,023,040
南浦和,着,2115,,2124,2129,,2139,2145,,2156,2203,,2209,2215,2221,2227,2233,2239,2245,2256,,2303,2314,,2319,,2327,2335,2340,2351,2355,003,011,026,048
南浦和,発,2115,2104,2124,2129,2119,2139,2145,2134,2156,2203,2150,2209,2215,2221,2227,2233,2239,2245,2256,2250,2303,2314,,2319,2308,2327,2335,2340,2351,2355,003,011,026,048
