FileType,OuDia.JikokuhyouCsv.1
平日
上り

列車番号,,2106Y,2122Y,2110Y,2130Y,2128Y,2208Y,2204Y,2236Y,2284Y,2138Y,2218Y,2214Y,2234Y,2312Y,2322Y,2310Y,2330Y,2428Y,2408Y,2436Y,2438Y
列車種別,,,,,,,,,,,,,,,,,,,,,,
列車名,,,,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
蘇我,着,,,,,2153,,,,,2231,,,,,,,,,,,
蘇我,発,2118,2127,2136,2145,2156,2207,2213,2219,2226,2236,2243,2252,2258,2309,2326,2339,2350,000,011,027,040
千葉みなと,着,2122,2131,2140,2149,2200,2211,2217,2223,2230,2240,2247,2256,2302,2313,2330,2343,2354,004,015,031,044
千葉みなと,発,2122,2131,2140,2149,2200,2211,2217,2223,2230,2240,2247,2256,2302,2313,2330,2343,2354,004,015,031,044
稲毛海岸,着,2126,2135,2143,2153,2203,2215,2220,2226,2234,2243,2250,2259,2306,2316,2333,2347,2358,008,018,035,047
稲毛海岸,発,2126,2135,2143,2153,2203,2215,2220,2226,2234,2243,2250,2259,2306,2316,2333,2347,2358,008,018,035,047
検見川浜,着,2128,2137,2146,2155,2205,2217,2223,2228,2236,2245,2252,2302,2308,2318,2335,2349,000,010,020,037,049
検見川浜,発,2128,2137,2146,2155,2205,2217,2223,2228,2236,2245,2252,2302,2308,2318,2335,2349,000,010,020,037,049
海浜幕張,着,2131,2140,2148,2158,2209,2221,2225,2231,2239,2249,2255,2305,2310,2322,2338,2352,003,013,023,040,052
海浜幕張,発,2131,2140,2148,2158,2209,2221,2225,2231,2239,2249,2255,2305,2310,2322,2338,2352,003,013,023,040,052
新習志野,着,2135,2143,2152,2202,2212,2225,2229,2235,2243,2252,2259,2308,2314,2326,2342,2356,007,016,027,044,056
新習志野,発,2135,2143,2152,2202,2212,2225,,2235,,2252,,2308,,2326,2342,2356,,016,,,
南船橋,着,2137,2146,2154,2204,2215,2227,,2237,,2255,,2311,,2328,2344,2358,,019,,,
南船橋,発,2137,2146,2154,2204,2215,2227,,2237,,2255,,2311,,2328,2344,2358,,019,,,
二俣新町,着,2141,2149,2158,2208,2218,2231,,2241,,2258,,2314,,2332,2348,002,,022,,,
二俣新町,発,2141,2149,2158,2208,2218,2231,,2241,,2258,,2314,,2332,2348,002,,022,,,
市川塩浜,着,2144,2153,2202,2211,2222,2235,,2245,,2302,,2318,,2336,2352,005,,026,,,
市川塩浜,発,2144,2153,2202,2211,2222,2235,,2245,,2302,,2318,,2336,2352,005,,026,,,
新浦安,着,2147,2156,2204,2216,2225,2238,,2247,,2305,,2321,,2338,2354,008,,029,,,
新浦安,発,2147,2156,2204,2216,2225,2238,,2247,,2305,,2321,,2338,2354,008,,029,,,
舞浜,着,2153,2159,2208,2223,2231,2245,,2254,,2309,,2326,,2342,2358,011,,032,,,
舞浜,発,2153,2159,2208,2223,2231,2245,,2254,,2309,,2326,,2342,2358,011,,032,,,
葛西臨海公園,着,2156,2202,2211,2225,2233,2247,,2257,,2312,,2329,,2345,001,014,,035,,,
葛西臨海公園,発,2156,2202,2211,2225,2233,2247,,2257,,2312,,2329,,2345,001,014,,035,,,
新木場,着,2159,2206,2214,2229,2237,2251,,2300,,2316,,2332,,2348,004,018,,039,,,
新木場,発,2159,2206,2214,2229,2237,2251,,2300,,2316,,2332,,2348,004,018,,039,,,
潮見,着,2202,2208,2217,2232,2239,2253,,2303,,2318,,2335,,2351,007,020,,041,,,
潮見,発,2202,2208,2217,2232,2239,2253,,2303,,2318,,2335,,2351,007,020,,041,,,
越中島,着,2205,2211,2220,2235,2243,2257,,2306,,2321,,2338,,2354,010,024,,044,,,
越中島,発,2205,2211,2220,2235,2243,2257,,2306,,2321,,2338,,2354,010,024,,044,,,
八丁堀,着,2207,2214,2222,2237,2245,2259,,2308,,2324,,2340,,2356,012,026,,047,,,
八丁堀,発,2207,2214,2222,2237,2245,2259,,2308,,2324,,2340,,2356,012,026,,047,,,
東京,着,2209,2215,2224,2239,2247,2301,,2310,,2325,,2342,,2358,014,028,,049,,,
東京,発,,,,,,,,,,,,,,,,,,,,,
備考,,,,,,,,,,,,,,,,,,,,,,
