FileType,OuDia.JikokuhyouCsv.1
平日
下り

列車番号,,2137Y,2185Y,2119Y,2135Y,2213Y,2223Y,2211Y,2231Y,2329Y,2309Y,2337Y,2339Y,2415Y,2413Y,2423Y
列車種別,,,,,,,,,,,,,,,,
列車名,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
東京,着,,,,,,,,,,,,,,,
東京,発,2112,2124,2145,2154,2212,2231,2242,2252,2304,2317,2330,2346,005,022,035
八丁堀,着,2115,2126,2147,2157,2214,2233,2244,2255,2307,2319,2332,2348,007,024,037
八丁堀,発,2115,2126,2147,2157,2214,2233,2244,2255,2307,2319,2332,2348,007,024,037
越中島,着,2117,2129,2149,2159,2216,2235,2246,2257,2309,2321,2334,2350,009,026,039
越中島,発,2117,2129,2149,2159,2216,2235,2246,2257,2309,2321,2334,2350,009,026,039
潮見,着,2120,2132,2152,2202,2219,2238,2249,2300,2312,2324,2337,2353,012,029,042
潮見,発,2120,2132,2152,2202,2219,2238,2249,2300,2312,2324,2337,2353,012,029,042
新木場,着,2122,2134,2155,2204,2222,2241,2252,2302,2314,2327,2340,2356,015,033,045
新木場,発,2122,2134,2155,2204,2222,2241,2252,2302,2314,2327,2340,2356,015,033,045
葛西臨海公園,着,2126,2138,2158,2212,2226,2244,2255,2306,2318,2330,2343,2359,018,036,048
葛西臨海公園,発,2126,2138,2158,2212,2226,2244,2255,2306,2318,2330,2343,2359,018,036,048
舞浜,着,2129,2140,2201,2215,2228,2247,2258,2309,2321,2333,2346,002,021,039,051
舞浜,発,2129,2140,2201,2215,2228,2247,2258,2309,2321,2333,2346,002,021,039,051
新浦安,着,2137,2147,2205,2223,2232,2250,2301,2313,2324,2336,2349,006,025,042,054
新浦安,発,2137,2147,2205,2223,2232,2250,2301,2313,2324,2336,2349,006,025,042,054
市川塩浜,着,2140,2149,2207,2226,2234,2253,2304,2316,2327,2339,2352,008,027,045,057
市川塩浜,発,2140,2149,2207,2226,2234,2253,2304,2316,2327,2339,2352,008,027,045,057
二俣新町,着,2144,2153,2211,2230,2238,2257,2308,2320,2331,2343,2356,012,031,049,101
二俣新町,発,2144,2153,2211,2230,2238,2257,2308,2320,2331,2343,2356,012,031,049,101
南船橋,着,2147,2157,2215,2233,2242,2300,2311,2323,2334,2346,2359,016,035,052,104
南船橋,発,2147,2157,2215,2233,2242,2300,2311,2323,2334,2346,2359,016,035,052,104
新習志野,着,2155,2200,2218,2236,2245,2303,2314,2327,2337,2349,003,019,038,055,107
新習志野,発,2155,2200,2218,2236,2245,2303,2314,2327,2337,2349,003,019,038,055,107
海浜幕張,着,2158,2204,2225,2241,2248,2307,2318,2330,2341,2353,007,022,041,059,111
海浜幕張,発,2158,2204,2225,2241,2248,2307,2318,2330,2341,2353,007,022,041,059,111
検見川浜,着,2201,2206,2228,2243,2251,2309,2320,2332,2343,2355,009,025,044,101,113
検見川浜,発,2201,2206,2228,2243,2251,2309,2320,2332,2343,2355,009,025,044,101,113
稲毛海岸,着,2203,2208,2230,2245,2253,2311,2322,2335,2345,2357,011,027,046,103,115
稲毛海岸,発,2203,2208,2230,2245,2253,2311,2322,2335,2345,2357,011,027,046,103,115
千葉みなと,着,2206,2212,2233,2249,2256,2315,2326,2338,2349,001,015,030,049,107,119
千葉みなと,発,2206,2212,2233,2249,2256,2315,2326,2338,2349,001,015,030,049,107,119
蘇我,着,2211,2216,2237,2253,2300,2319,2330,2342,2353,005,019,034,053,111,123
蘇我,発,,,,,,,,,,,,,,,
備考,,,,,,,,,,,,,,,,
