FileType,OuDia.JikokuhyouCsv.1
平日
上り

列車番号,,2104E,1909E,2114E,2037E,2011E,2270E,2065E,2147E,2250E,2121E,2284E,2269E,2372E,2382E
列車種別,,,,,,,,,,,,,,,
列車名,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
海浜幕張,着,,,,,,,,,,,,,,
海浜幕張,発,2110,,2133,,,2200,,,,,,,,
新習志野,着,2114,,2137,,,2204,,,,,,,,
新習志野,発,2114,,2137,,,2204,,,,,,,,
南船橋,着,2116,,2140,,,2207,,,,,,,,
南船橋,発,2116,,2140,,,2207,,,2229,,2258,,2336,2350
西船橋,着,2123,2113,2147,2130,2150,2213,2203,2226,2235,2251,2303,2324,2341,2356
西船橋,発,2123,2114,2147,2133,2151,2213,2203,2226,,2252,,2325,2341,
市川塩浜,着,,2119,,2138,2157,,2209,2232,,2257,,2331,,
市川塩浜,発,,2119,,2138,2157,,2209,2232,,2257,,2331,,
新浦安,着,,2122,,2141,2159,,2212,2235,,2300,,2333,,
新浦安,発,,2122,,2141,2159,,2212,2235,,2300,,2333,,
舞浜,着,,2127,,2147,2203,,2216,2238,,2303,,2337,,
舞浜,発,,2127,,2147,2203,,2216,2238,,2303,,2337,,
葛西臨海公園,着,,2133,,2150,2206,,2219,2241,,2306,,2340,,
葛西臨海公園,発,,2133,,2150,2206,,2219,2241,,2306,,2340,,
新木場,着,,2136,,2154,2209,,2222,2245,,2310,,2343,,
新木場,発,,2136,,2154,2209,,2222,2245,,2310,,2343,,
潮見,着,,2139,,2156,2212,,2225,2247,,2312,,2346,,
潮見,発,,2139,,2156,2212,,2225,2247,,2312,,2346,,
越中島,着,,2142,,2159,2215,,2228,2250,,2315,,2349,,
越中島,発,,2142,,2159,2215,,2228,2250,,2315,,2349,,
八丁堀,着,,2144,,2202,2217,,2230,2253,,2318,,2351,,
八丁堀,発,,2144,,2202,2217,,2230,2253,,2318,,2351,,
東京,着,,2146,,2204,2219,,2232,2254,,2320,,2353,,
東京,発,,,,,,,,,,,,,,
備考,,,,,,,,,,,,,,,
