FileType,OuDia.JikokuhyouCsv.1
平日
下り

列車番号,,2186E,1915E,2139E,2077E,2126E,2071E,2108E,2236E,2051E,2210E,2264E,2185E,2246E,2173E,2385E,2159E,2320E,2283E,2245E,2241E,2387E,2315E
列車種別,,,,,,,,,,,,,,,,,,,,,,,
列車名,,,,,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
東京,着,,,,,,,,,,,,,,,,,,,,,,
東京,発,2103,,,,2127,,2149,2207,,2224,2237,,2257,,,,2333,,,,,
八丁堀,着,2105,,,,2129,,2151,2209,,2227,2239,,2259,,,,2335,,,,,
八丁堀,発,2105,,,,2129,,2151,2209,,2227,2239,,2259,,,,2335,,,,,
越中島,着,2108,,,,2131,,2153,2211,,2229,2241,,2301,,,,2337,,,,,
越中島,発,2108,,,,2131,,2153,2211,,2229,2241,,2301,,,,2337,,,,,
潮見,着,2111,,,,2134,,2156,2214,,2232,2244,,2304,,,,2340,,,,,
潮見,発,2111,,,,2134,,2156,2214,,2232,2244,,2304,,,,2340,,,,,
新木場,着,2114,,,,2137,,2159,2217,,2234,2247,,2307,,,,2343,,,,,
新木場,発,2114,,,,2137,,2159,2217,,2234,2247,,2307,,,,2343,,,,,
葛西臨海公園,着,2117,,,,2143,,2203,2220,,2238,2250,,2310,,,,2347,,,,,
葛西臨海公園,発,2117,,,,2143,,2203,2220,,2238,2250,,2310,,,,2347,,,,,
舞浜,着,2120,,,,2146,,2206,2223,,2241,2253,,2313,,,,2349,,,,,
舞浜,発,2120,,,,2146,,2206,2223,,2241,2253,,2313,,,,2349,,,,,
新浦安,着,2124,,,,2149,,2210,2227,,2244,2256,,2317,,,,2353,,,,,
新浦安,発,2124,,,,2149,,2210,2227,,2244,2256,,2317,,,,2353,,,,,
市川塩浜,着,2127,,,,2152,,2213,2230,,2247,2259,,2319,,,,2356,,,,,
市川塩浜,発,2127,,,,2152,,2213,2230,,2247,2259,,2319,,,,2356,,,,,
西船橋,着,2135,2105,,2122,2200,2139,2222,2236,2215,2253,2305,2239,2325,2302,,2315,002,2337,2348,001,022,037
西船橋,発,2135,2108,2119,2126,2200,2139,2222,2236,2217,2253,2305,2239,2325,2303,2311,2315,002,2337,2349,002,024,037
南船橋,着,,2113,2125,2131,,2145,,,2223,,,2245,,2309,2317,2321,,2343,2354,008,030,043
南船橋,発,,2113,2125,2131,,2145,,,,,,,,,2317,2321,,,2354,008,030,043
新習志野,着,,2116,2128,2135,,2148,,,,,,,,,2320,2324,,,2358,011,033,046
新習志野,発,,2116,,,,2148,,,,,,,,,,,,,,,,
海浜幕張,着,,2120,,,,2152,,,,,,,,,,,,,,,,
海浜幕張,発,,,,,,,,,,,,,,,,,,,,,,
備考,,,,,,,,,,,,,,,,,,,,,,,
