FileType,OuDia.JikokuhyouCsv.1
平日
下り

列車番号,,2103A,2105A,2133A,2215A,2207A
列車種別,,,,,,
列車名,,,,,,
号数,,,,,,
,,,,,,
東京,着,,,,,
東京,発,2110,2118,2137,2204,2222
八丁堀,着,2112,2120,2139,2206,2224
八丁堀,発,2112,2120,2139,2206,2224
新木場,着,2119,2126,2147,2213,2231
新木場,発,2119,2126,2147,2213,2231
舞浜,着,2123,2131,2153,2217,2236
舞浜,発,2123,2131,2153,2217,2236
新浦安,着,2127,2135,2156,2221,2240
新浦安,発,2127,2135,2156,2221,2240
南船橋,着,2135,2142,2204,2229,2248
南船橋,発,2135,2142,2204,2229,2248
海浜幕張,着,2140,2149,2209,2234,2254
海浜幕張,発,2140,2149,2209,2234,2254
検見川浜,着,2143,2151,2211,2236,2256
検見川浜,発,2143,2151,2211,2236,2256
稲毛海岸,着,2145,2153,2214,2238,2258
稲毛海岸,発,2145,2153,2214,2238,2258
千葉みなと,着,2149,2157,2217,2242,2302
千葉みなと,発,2149,2157,2217,2242,2302
蘇我,着,2153,2201,2221,2246,2306
蘇我,発,2157,,2222,,2310
備考,,,,,,
