FileType,OuDia.JikokuhyouCsv.1
平日
上り

列車番号,,2106C,2116B,2128A,2122C,2141K,2114C,2132A,2126A,2126B,2226C,2244B,2262A,2240A,2248A,2218B,2214B,2222A,2206B,2232B,2204C,2306A,2330C,2315K,2338A,2346A,2338C,2438B
列車種別,,,,,,,,,,,,,,,,,,,,,,,,,,,,
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大船,着,,,,,,,,,,,,,,,,,,,,,,,,,,,
大船,発,,2119,,2127,2133,2141,,,2149,2201,,,2213,2225,,2237,,2247,,2258,,2312,,2330,,2348,009
本郷台,着,,2123,,2131,2138,2145,,,2153,2205,,,2217,2229,,2241,,2251,,2302,,2316,,2334,,2352,013
本郷台,発,,2123,,2131,2138,2145,,,2153,2205,,,2217,2229,,2241,,2251,,2302,,2316,,2334,,2352,013
港南台,着,,2126,,2134,2141,2148,,,2156,2208,,,2220,2232,,2244,,2254,,2305,,2319,,2337,,2355,016
港南台,発,,2126,,2134,2141,2148,,,2156,2208,,,2220,2232,,2244,,2254,,2305,,2319,,2337,,2355,016
洋光台,着,,2128,,2136,2143,2150,,,2158,2210,,,2222,2234,,2246,,2257,,2307,,2322,,2340,,2358,019
洋光台,発,,2128,,2136,2143,2150,,,2158,2210,,,2222,2234,,2246,,2257,,2307,,2322,,2340,,2358,019
新杉田,着,,2131,,2139,2146,2153,,,2201,2213,,,2225,2237,,2249,,2300,,2310,,2325,,2343,,001,022
新杉田,発,,2131,,2139,2146,2153,,,2201,2213,,,2225,2237,,2249,,2300,,2310,,2325,,2343,,001,022
磯子,着,,2135,,2142,2149,2157,,,2204,2216,,,2228,2240,,2252,,2303,,2313,,2328,,2346,,004,025
磯子,発,,2135,2122,2142,2149,2157,,2146,2204,2216,,2209,2228,2240,,2252,,2303,,2313,,2328,,2346,,004,025
根岸,着,,2138,2125,2145,2152,2200,,2149,2207,2219,,2212,2231,2243,,2255,,2306,,2316,,2331,,2349,,007,028
根岸,発,,2138,2125,2145,2152,2200,,2149,2207,2219,,2212,2231,2243,,2255,,2306,,2316,,2331,,2349,,007,028
山手,着,,2141,2128,2148,2154,2203,,2151,2210,2222,,2215,2234,2246,,2258,,2308,,2319,,2333,,2351,,009,030
山手,発,,2141,2128,2148,2154,2203,,2151,2210,2222,,2215,2234,2246,,2258,,2308,,2319,,2333,,2351,,009,030
石川町,着,,2143,2130,2150,2156,2205,,2153,2212,2224,,2217,2236,2248,,2300,,2311,,2321,,2335,,2353,,011,032
石川町,発,,2143,2130,2150,2156,2205,,2153,2212,2224,,2217,2236,2248,,2300,,2311,,2321,,2335,,2353,,011,032
関内,着,,2145,2132,2152,2158,2207,,2155,2214,2226,,2219,2238,2250,,2302,,2313,,2323,,2337,,2355,,013,034
関内,発,,2145,2132,2152,2158,2207,,2155,2214,2226,,2219,2238,2250,,2302,,2313,,2323,,2337,,2355,,013,034
桜木町,着,,2147,2134,2154,2200,2210,,2157,2216,2228,,2221,2240,2252,,2304,,2315,,2325,,2339,,2357,,015,036
桜木町,発,2117,2147,2134,2154,2200,2210,2143,2157,2216,2228,2203,2221,2240,2252,2233,2304,2245,2315,2257,2325,2310,2339,2320,2357,2332,015,036
横浜,着,2120,2150,2137,2157,2204,2213,2147,2200,2219,2231,2207,2224,2243,2255,2237,2307,2249,2318,2301,2328,2313,2342,2326,000,2335,018,039
横浜,発,2120,2150,2137,2157,2204,2213,2147,2200,2219,2231,2207,2224,2243,2255,2237,2307,2249,2318,2301,2328,2313,2342,2326,000,2335,018,039
備考,,,,,,,,,,,,,,,,,,,,,,,,,,,,
