FileType,OuDia.JikokuhyouCsv.1
平日
下り

列車番号,,2049B,2005C,2119B,2031C,2169A,2123A,2119A,2133B,2139A,2117C,2107A,2139C,2214K,2101B,2147A,2139B,2209B,2237A,2215A,2203C,2225B,2225A,2207C,2235C,2203A,2329A,2367A,2325C,2317A,2333A,2323C
列車種別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
横浜,着,2213,2219,2223,2228,2232,2236,2241,2246,2251,2256,2301,2307,2309,2314,2320,2325,2332,2337,2343,2349,2356,002,008,015,020,025,031,039,046,057,110
横浜,発,2213,2219,2223,2228,2232,2236,2241,2246,2251,2256,2301,2307,2309,2314,2320,2325,2332,2337,2343,2349,2356,002,008,015,020,025,031,039,046,057,110
桜木町,着,2216,2224,2227,2231,2235,2240,2244,2249,2254,2259,2305,2310,2313,2317,2323,2328,2335,2341,2346,2352,000,005,011,018,023,028,034,042,049,100,113
桜木町,発,2216,2224,,2231,2235,,2244,,2254,2259,,2310,,2317,,2328,2335,,2346,2352,,005,011,018,,028,034,042,,100,
関内,着,2218,2226,,2233,2237,,2246,,2256,2301,,2312,,2319,,2330,2337,,2348,2354,,007,013,020,,030,036,044,,102,
関内,発,2218,2226,,2233,2237,,2246,,2256,2301,,2312,,2319,,2330,2337,,2348,2354,,007,013,020,,030,036,044,,102,
石川町,着,2220,2227,,2234,2239,,2248,,2257,2302,,2314,,2320,,2332,2339,,2350,2356,,008,014,022,,032,038,046,,103,
石川町,発,2220,2227,,2234,2239,,2248,,2257,2302,,2314,,2320,,2332,2339,,2350,2356,,008,014,022,,032,038,046,,103,
山手,着,2222,2230,,2237,2241,,2250,,2259,2304,,2316,,2322,,2334,2341,,2352,2358,,010,016,024,,034,040,048,,106,
山手,発,2222,2230,,2237,2241,,2250,,2259,2304,,2316,,2322,,2334,2341,,2352,2358,,010,016,024,,034,040,048,,106,
根岸,着,2224,2232,,2239,2243,,2252,,2302,2307,,2318,,2325,,2336,2343,,2354,000,,013,019,026,,036,042,050,,108,
根岸,発,2224,2232,,2239,2243,,2252,,2302,2307,,2318,,2325,,2336,2343,,2354,000,,013,019,026,,036,042,050,,108,
磯子,着,2227,2235,,2242,2246,,2256,,2305,2310,,2322,,2328,,2340,2346,,2358,003,,016,022,030,,040,045,054,,111,
磯子,発,,2235,,2242,,,2256,,2305,,,2322,,,,2340,,,2358,,,016,,030,,040,,054,,,
新杉田,着,,2238,,2245,,,2258,,2308,,,2324,,,,2342,,,000,,,019,,032,,042,,056,,,
新杉田,発,,2238,,2245,,,2258,,2308,,,2324,,,,2342,,,000,,,019,,032,,042,,056,,,
洋光台,着,,2241,,2248,,,2302,,2311,,,2328,,,,2346,,,004,,,022,,036,,046,,100,,,
洋光台,発,,2241,,2248,,,2302,,2311,,,2328,,,,2346,,,004,,,022,,036,,046,,100,,,
港南台,着,,2244,,2251,,,2304,,2314,,,2330,,,,2348,,,006,,,025,,038,,048,,102,,,
港南台,発,,2244,,2251,,,2304,,2314,,,2330,,,,2348,,,006,,,025,,038,,048,,102,,,
本郷台,着,,2247,,2254,,,2307,,2317,,,2333,,,,2351,,,009,,,028,,041,,051,,105,,,
本郷台,発,,2247,,2254,,,2307,,2317,,,2333,,,,2351,,,009,,,028,,041,,051,,105,,,
大船,着,,2251,,2258,,,2311,,2321,,,2337,,,,2355,,,013,,,032,,045,,055,,109,,,
大船,発,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
備考,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
