FileType,OuDia.JikokuhyouCsv.1
平日
上り

列車番号,,2564Y,2566Y
列車種別,,,
列車名,,,
号数,,,
,,,
大船,着,2123,
大船,発,2124,2208
戸塚,着,2128,2213
戸塚,発,2129,2214
東戸塚,着,2132,2217
東戸塚,発,2133,2218
保土ケ谷,着,2137,2222
保土ケ谷,発,2138,2222
横浜,着,2141,2225
横浜,発,2142,2226
新川崎,着,2150,2234
新川崎,発,2151,2235
武蔵小杉,着,2153,2237
武蔵小杉,発,2154,2238
西大井,着,2159,2243
西大井,発,2159,2243
大崎,着,2203,2247
大崎,発,2204,2247
恵比寿,着,2207,2251
恵比寿,発,2208,2252
渋谷,着,2210,2253
渋谷,発,2210,2254
新宿,着,2215,2259
新宿,発,2216,2300
池袋,着,2221,2305
池袋,発,2222,2306
赤羽,着,2232,2316
赤羽,発,2233,2316
浦和,着,2241,2324
浦和,発,2241,2325
大宮,着,2248,2331
大宮,発,2249,2332
備考,,,
