FileType,OuDia.JikokuhyouCsv.1
平日
下り

列車番号,,2569Y,2571Y
列車種別,,,
列車名,,,
号数,,,
,,,
大宮,着,2107,2152
大宮,発,2108,2153
浦和,着,2114,2158
浦和,発,2115,2159
赤羽,着,2123,2206
赤羽,発,2124,2207
池袋,着,2136,2217
池袋,発,2137,2218
新宿,着,2142,2223
新宿,発,2143,2224
渋谷,着,2148,2229
渋谷,発,2149,2230
恵比寿,着,2150,2231
恵比寿,発,2151,2232
大崎,着,2155,2236
大崎,発,2155,2236
西大井,着,2159,2239
西大井,発,2200,2240
武蔵小杉,着,2205,2245
武蔵小杉,発,2206,2245
新川崎,着,2208,2248
新川崎,発,2209,2248
横浜,着,2218,2257
横浜,発,2219,2257
保土ケ谷,着,2221,2300
保土ケ谷,発,2222,2300
東戸塚,着,2226,2305
東戸塚,発,2227,2305
戸塚,着,2230,2309
戸塚,発,2231,2309
大船,着,2236,2315
大船,発,2239,
備考,,,
