FileType,OuDia.JikokuhyouCsv.1
平日
上り

列車番号,,2866Y,2868Y,2870Y
列車種別,,,,
列車名,,,,
号数,,,,
,,,,
大船,着,2110,2139,2244
大船,発,2111,2141,2245
戸塚,着,2116,2146,2250
戸塚,発,2116,2147,2250
横浜,着,2125,2156,2259
横浜,発,2126,2157,2300
武蔵小杉,着,2136,2207,2311
武蔵小杉,発,2137,2207,2311
大崎,着,2145,2216,2319
大崎,発,2146,2216,2320
恵比寿,着,2150,2220,2324
恵比寿,発,2150,2221,2324
渋谷,着,2152,2223,2326
渋谷,発,2152,2224,2327
新宿,着,2157,2229,2332
新宿,発,2158,2231,2333
池袋,着,2203,2236,2339
池袋,発,2204,2237,2340
赤羽,着,2214,2247,2350
赤羽,発,2215,2248,2350
浦和,着,2223,2256,2358
浦和,発,2223,2257,2359
大宮,着,2230,2303,005
大宮,発,2231,2305,008
備考,,,,
