FileType,OuDia.JikokuhyouCsv.1
平日
下り

列車番号,,2869Y,2871Y,2873Y
列車種別,,,,
列車名,,,,
号数,,,,
,,,,
大宮,着,2123,2210,2224
大宮,発,2124,2211,2225
浦和,着,2131,2216,2231
浦和,発,2131,2217,2231
赤羽,着,2141,2225,2239
赤羽,発,2141,2225,2240
池袋,着,2152,2236,2251
池袋,発,2153,2237,2252
新宿,着,2158,2242,2257
新宿,発,2159,2243,2258
渋谷,着,2204,2248,2303
渋谷,発,2205,2248,2303
恵比寿,着,2207,2250,2305
恵比寿,発,2207,2250,2306
大崎,着,2211,2254,2309
大崎,発,2212,2255,2310
武蔵小杉,着,2219,2302,2318
武蔵小杉,発,2220,2303,2318
横浜,着,2231,2313,2329
横浜,発,2232,2314,2331
戸塚,着,2243,2324,2342
戸塚,発,2244,2324,2343
大船,着,2249,2329,2348
大船,発,2250,2331,2349
備考,,,,
