FileType,OuDia.JikokuhyouCsv.1
平日
上り

列車番号,,2104F,2136F,2060F,2088F,2174F,2146F,2128F,2164F,2110F,2244F,2170F,2216F,2262F,2276F,2272F,2332F,2384F,2314F,2368F,2406F,2416F
列車種別,,,,,,,,,,,,,,,,,,,,,,
列車名,,,,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
千葉,着,,,2114,2122,,,,2143,2156,,2221,,,,2302,,,2346,,,
千葉,発,2104,,2117,2124,,2131,2136,2147,2157,2204,2222,2233,2243,2254,2303,2311,2327,2350,2354,005,015
稲毛,着,2108,,2120,2128,,2134,2140,2150,2200,2207,2226,2236,2246,2257,2306,2315,2330,2354,2357,008,018
稲毛,発,2108,,2120,2128,,2134,2140,2150,2200,2207,2226,2236,2246,2257,2306,2315,2330,2354,2357,008,018
津田沼,着,2116,,2127,2136,,2141,2147,2157,2207,2214,2233,2244,2254,2304,2313,2322,2337,001,005,015,026
津田沼,発,2116,2111,2127,2136,2131,2141,2147,2157,2207,2214,2233,2244,2254,2304,2313,2322,2337,001,,,
船橋,着,2119,2114,2131,2139,2135,2145,2151,2201,2211,2218,2236,2247,2257,2308,2317,2325,2341,004,,,
船橋,発,2119,2114,2131,2139,2135,2145,2151,2201,2211,2218,2236,2247,2257,2308,2317,2325,2341,004,,,
市川,着,2129,2121,2137,2145,2141,2151,2157,2207,2217,2227,2242,2253,2303,2314,2323,2331,2347,010,,,
市川,発,2129,2121,2137,2145,2141,2151,2157,2207,2217,2227,2242,2253,2303,2314,2323,2331,2347,010,,,
新小岩,着,2134,2126,2142,2150,2146,2156,2202,2212,2222,2232,2247,2258,2308,2319,2328,2336,2352,015,,,
新小岩,発,2134,2126,2142,2150,2146,2156,2202,2212,2222,2232,2247,2258,2308,2319,2328,2336,2352,015,,,
錦糸町,着,2140,2131,2147,2156,2151,2201,2207,2217,2227,2237,2252,2303,2313,2324,2333,2341,2357,021,,,
錦糸町,発,2140,2131,2147,2156,2151,2201,2207,2217,2227,2237,2252,2303,2313,2324,2333,2341,2357,021,,,
馬喰町,着,2144,2135,2150,2159,2154,2205,2210,2221,2230,2241,2256,2307,2317,2327,2336,2345,000,024,,,
馬喰町,発,2144,2135,2150,2159,2154,2205,2210,2221,2230,2241,2256,2307,2317,2327,2336,2345,000,024,,,
新日本橋,着,2146,2137,2152,2201,2156,2207,2212,2223,2232,2243,2258,2309,2319,2329,2338,2347,002,026,,,
新日本橋,発,2146,2137,2152,2201,2156,2207,2212,2223,2232,2243,2258,2309,2319,2329,2338,2347,002,026,,,
東京,着,2148,2139,2155,2204,2159,2209,2215,2225,2235,2245,2300,2311,2321,2332,2341,2349,005,029,,,
東京,発,,2140,2156,2208,,,2220,2230,,2247,2304,,2322,2335,,2350,,,,,
備考,,,,,,,,,,,,,,,,,,,,,,
