FileType,OuDia.JikokuhyouCsv.1
平日
下り

列車番号,,2193F,1939F,1945F,1915F,2049F,2117F,2063F,2003F,2077F,2275F,2133F,2185F,2181F,2211F,2191F,2169F,2107F,2317F,2213F,2373F,2235F
列車種別,,,,,,,,,,,,,,,,,,,,,,
列車名,,,,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
東京,着,,2104,2112,2122,2130,,2145,2154,2205,,2215,2224,2236,,2252,2303,2315,,2336,,000
東京,発,2102,2108,2114,2123,2131,2137,2149,2159,2206,2213,2219,2230,2239,2249,2255,2304,2316,2325,2337,2350,001
新日本橋,着,2104,2110,2116,2125,2133,2139,2151,2201,2208,2215,2221,2232,2241,2251,2257,2306,2318,2327,2339,2352,004
新日本橋,発,2104,2110,2116,2125,2133,2139,2151,2201,2208,2215,2221,2232,2241,2251,2257,2306,2318,2327,2339,2352,004
馬喰町,着,2106,2112,2118,2127,2135,2141,2153,2203,2210,2217,2223,2234,2243,2253,2259,2308,2320,2329,2341,2354,005
馬喰町,発,2106,2112,2118,2127,2135,2141,2153,2203,2210,2217,2223,2234,2243,2253,2259,2308,2320,2329,2341,2354,005
錦糸町,着,2110,2116,2123,2132,2140,2145,2157,2207,2214,2223,2227,2238,2248,2257,2303,2312,2325,2334,2347,2358,012
錦糸町,発,2110,2116,2123,2132,2140,2145,2157,2207,2214,2223,2227,2238,2248,2257,2303,2312,2325,2334,2347,2358,012
新小岩,着,2114,2121,2127,2137,2144,2150,2202,2212,2219,2227,2232,2243,2253,2302,2308,2317,2330,2338,2351,003,016
新小岩,発,2114,2121,2127,2137,2144,2150,2202,2212,2219,2227,2232,2243,2253,2302,2308,2317,2330,2338,2351,003,016
市川,着,2119,2126,2132,2142,2149,2158,2211,2217,2224,2232,2237,2248,2258,2307,2313,2322,2335,2343,2356,008,021
市川,発,2119,2126,2132,2142,2149,2158,2211,2217,2224,2232,2237,2248,2258,2307,2313,2322,2335,2343,2356,008,021
船橋,着,2125,2132,2138,2148,2155,2203,2216,2223,2230,2238,2243,2254,2303,2313,2319,2328,2340,2349,002,014,027
船橋,発,2125,2132,2138,2148,2155,2203,2216,2223,2230,2238,2243,2254,2303,2313,2319,2328,2340,2349,002,014,027
津田沼,着,2129,2136,2142,2152,2204,2207,2220,2228,2234,2242,2247,2258,2308,2317,2323,2332,2344,2353,006,018,033
津田沼,発,2129,2136,2142,2152,2204,2207,2220,2228,2234,,2247,2258,2308,,2323,2332,2344,2353,006,,033
稲毛,着,2136,2143,2149,2159,2211,2214,2227,2235,2241,,2254,2305,2315,,2330,2339,2351,000,013,,039
稲毛,発,2136,2143,2149,2159,2211,2214,2227,2235,2241,,2254,2305,2315,,2330,2339,2351,000,013,,039
千葉,着,2140,2147,2153,2203,2215,2218,2231,2239,2245,,2258,2309,2319,,2334,2343,2355,004,017,,043
千葉,発,2141,2150,,2204,2216,,,2244,,,,,,,2339,,,,,,
備考,,,,,,,,,,,,,,,,,,,,,,
