FileType,OuDia.JikokuhyouCsv.1
平日
上り

列車番号,,2873Y,1951E,2871Y,856M,858M,852M,854M,862M,864M,860M,968M
列車種別,,,,,,,,,,,,
列車名,,,,,,,,,,,,
号数,,,,,,,,,,,,
,,,,,,,,,,,,
高崎,着,,,,,,,,2213,,,
高崎,発,2105,,,2130,2146,,,2214,2233,,2305
倉賀野,着,2109,,,2134,2150,,,2218,2238,,2309
倉賀野,発,2110,,,2135,2150,,,2219,2238,,2310
新町,着,2115,,,2140,2156,,,2224,2243,,2315
新町,発,2115,,,2140,2156,,,2224,2244,,2315
神保原,着,2119,,,2144,2200,,,2228,2247,,2319
神保原,発,2120,,,2145,2200,,,2228,2248,,2320
本庄,着,2123,,,2148,2204,,,2232,2251,,2323
本庄,発,2124,,,2149,2204,,,2232,2252,,2323
岡部,着,2128,,,2154,2209,,,2237,2256,,2328
岡部,発,2129,,,2154,2209,,,2237,2257,,2328
深谷,着,2132,,,2158,2213,,,2241,2300,,2332
深谷,発,2133,,,2159,2213,,,2241,2301,,2332
籠原,着,2137,,,2203,2218,,,2245,2305,,2337
籠原,発,2140,2111,2124,2204,2221,2147,2155,2246,2305,2237,
熊谷,着,2146,2117,2130,2210,2227,2153,2201,2252,2311,2243,
熊谷,発,2146,2118,2131,2211,2227,2153,2201,2252,2311,2243,
行田,着,2150,2122,2135,2215,2231,2157,2205,2256,2315,2247,
行田,発,2151,2122,2136,2216,2232,2158,2206,2257,2316,2248,
吹上,着,2154,2125,2139,2219,2235,2200,2208,2259,2318,2251,
吹上,発,2154,2125,2139,2219,2235,2201,2209,2300,2319,2251,
北鴻巣,着,2157,2128,2142,2222,2238,2204,2212,2303,2322,2254,
北鴻巣,発,2158,2129,2143,2223,2239,2204,2212,2303,2322,2255,
鴻巣,着,2201,2132,2146,2227,2242,2208,2216,2307,2326,2258,
鴻巣,発,2202,2133,2147,2227,2243,2208,2216,2307,2326,2259,
北本,着,2205,2136,2150,2230,2246,2212,2220,2311,2330,2302,
北本,発,2206,2137,2151,2231,2246,2212,2220,2311,2330,2303,
桶川,着,2209,2140,2155,2235,2250,2216,2224,2315,2334,2307,
桶川,発,2210,2141,2155,2235,2251,2216,2224,2315,2334,2307,
北上尾,着,2212,2143,2158,2238,2253,2219,2227,2318,2337,2309,
北上尾,発,2213,2144,2158,2238,2253,2219,2227,2318,2337,2310,
上尾,着,2215,2146,2201,2241,2256,2221,2229,2320,2339,2312,
上尾,発,2215,2146,2201,2241,2256,2222,2230,2321,2340,2313,
宮原,着,2219,2150,2205,2245,2300,2225,2233,2324,2343,2316,
宮原,発,2219,2150,2205,2245,2300,2226,2234,2325,2344,2317,
大宮,着,2224,2155,2210,2250,2304,2230,2238,2329,2348,2321,
大宮,発,2225,2156,2211,2251,2305,2231,2239,2330,2348,2322,
さいたま新都心,着,,2158,,2253,2308,2233,2242,2332,2350,2324,
さいたま新都心,発,,2159,,2254,2308,2234,2242,2333,2351,2325,
浦和,着,,2203,,2257,2312,2238,2246,2337,2355,2329,
浦和,発,,2203,,2258,2313,2238,2246,2337,2355,2329,
赤羽,着,,2212,,2306,2321,2246,2254,2345,003,2337,
赤羽,発,,2212,,2306,2321,2246,2255,2345,004,2338,
尾久,着,,2217,,2310,2325,2251,2259,2350,008,2342,
尾久,発,,2217,,2311,2326,2251,2259,2350,008,2343,
上野,着,,2223,,2317,2332,2257,2305,2356,014,2348,
上野,発,,2224,,,,,,,,,
備考,,,,,,,,,,,,
