FileType,OuDia.JikokuhyouCsv.1
平日
下り

列車番号,,1936E,2860Y,1938E,2862Y,1940E,1942E,1944E,2864Y,2866Y,1946E,1948E,2868Y,859M,861M,863M,2870Y
列車種別,,,,,,,,,,,,,,,,,
列車名,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
上野,着,2104,,2125,,2144,2206,2214,,,2235,2253,,,,,
上野,発,2105,,2126,,2145,2208,2215,,,2236,2254,,2307,2323,2346,
尾久,着,2110,,2131,,2150,2213,2220,,,2241,2259,,2312,2328,2351,
尾久,発,2111,,2132,,2150,2214,2220,,,2241,2259,,2312,2329,2351,
赤羽,着,2115,,2136,,2155,2218,2225,,,2245,2304,,2317,2333,2355,
赤羽,発,2115,,2137,,2155,2218,2225,,,2246,2304,,2317,2334,2356,
浦和,着,2123,,2145,,2203,2226,2233,,,2254,2312,,2325,2342,004,
浦和,発,2124,,2145,,2204,2227,2234,,,2254,2312,,2326,2342,005,
さいたま新都心,着,2128,,2149,,2208,2231,2238,,,2258,2316,,2329,2346,009,
さいたま新都心,発,2128,,2149,,2208,2231,2238,,,2259,2317,,2330,2347,009,
大宮,着,2131,2125,2152,2142,2211,2234,2241,2215,2230,2301,2319,2303,2333,2349,012,005
大宮,発,2132,2126,2153,2143,2212,2235,2243,2217,2231,2302,2320,2305,2334,2350,014,008
宮原,着,2136,2131,2157,2147,2216,2239,2247,2221,2235,2306,2324,2310,2339,2354,018,012
宮原,発,2136,2131,2157,2147,2216,2239,2248,2221,2235,2307,2325,2310,2339,2355,019,013
上尾,着,2140,2135,2202,2151,2220,2243,2251,2225,2239,2310,2329,2314,2343,2358,023,016
上尾,発,2140,2135,2207,2152,2220,2243,2252,2226,2239,2311,2329,2315,2343,2359,023,016
北上尾,着,2142,2137,2209,2154,2222,2245,2254,2228,2241,2313,2331,2317,2346,001,025,019
北上尾,発,2143,2138,2210,2154,2223,2246,2255,2229,2242,2313,2332,2317,2346,002,026,019
桶川,着,2145,2140,2212,2157,2225,2248,2258,2231,2244,2316,2334,2320,2348,004,028,021
桶川,発,2146,2141,2213,2158,2226,2249,2303,2232,2245,2316,2335,2321,2349,004,029,022
北本,着,2150,2145,2217,2202,2230,2252,2308,2236,2248,2320,2338,2325,2353,008,033,026
北本,発,2150,2146,2217,2202,2230,2253,2309,2236,2249,2321,2339,2325,2353,009,033,026
鴻巣,着,2153,2149,2220,2205,2234,2256,2312,2240,2252,2324,2342,2330,2356,012,037,029
鴻巣,発,2154,2150,2221,2206,2234,2257,2313,2245,2253,2324,2343,2335,2357,013,037,030
北鴻巣,着,2158,2154,2225,2210,2238,2300,2317,2249,2256,2328,2347,2339,001,017,041,034
北鴻巣,発,2158,2154,2225,2210,2238,2301,2317,2250,2257,2329,2347,2339,001,017,041,034
吹上,着,2201,2157,2228,2213,2241,2304,2320,2253,2300,2332,2350,2342,004,020,045,037
吹上,発,2202,2158,2229,2214,2242,2304,2321,2253,2300,2332,2351,2343,005,021,045,038
行田,着,2204,2201,2232,2217,2245,2307,2324,2256,2303,2335,2353,2346,007,024,048,040
行田,発,2205,2201,2232,2217,2245,2308,2324,2257,2304,2335,2354,2346,008,024,048,041
熊谷,着,2209,2205,2236,2221,2249,2312,2328,2301,2308,2340,2358,2350,012,028,053,045
熊谷,発,2210,2206,2237,2222,2250,2312,2329,2301,2308,2345,2359,2351,012,029,053,046
籠原,着,2216,2212,2243,2228,2256,2318,2335,2308,2314,2352,005,2356,018,035,059,051
籠原,発,,2218,,,2300,,,,2320,,,001,022,,103,056
深谷,着,,2223,,,2305,,,,2324,,,005,026,,107,100
深谷,発,,2223,,,2306,,,,2325,,,005,027,,108,100
岡部,着,,2227,,,2309,,,,2328,,,009,031,,112,104
岡部,発,,2227,,,2310,,,,2329,,,009,031,,112,104
本庄,着,,2232,,,2314,,,,2333,,,014,036,,117,109
本庄,発,,2232,,,2315,,,,2334,,,014,036,,117,109
神保原,着,,2236,,,2318,,,,2337,,,018,040,,121,113
神保原,発,,2236,,,2319,,,,2338,,,018,040,,121,113
新町,着,,2240,,,2323,,,,2341,,,022,044,,125,117
新町,発,,2240,,,2323,,,,2342,,,023,044,,126,117
倉賀野,着,,2245,,,2328,,,,2347,,,027,049,,131,122
倉賀野,発,,2246,,,2328,,,,2347,,,028,050,,131,123
高崎,着,,2251,,,2334,,,,2352,,,033,055,,137,128
高崎,発,,2252,,,,,,,,,,,056,,,
備考,,,,,,,,,,,,,,,,,
