FileType,OuDia.JikokuhyouCsv.1
平日
下り

列車番号,,3937M,3939M
列車種別,,,
列車名,,,
号数,,,
,,,
上野,着,,
上野,発,2130,2224
尾久,着,2135,2229
尾久,発,2136,2229
赤羽,着,2140,2234
赤羽,発,2141,2234
浦和,着,2149,2242
浦和,発,2149,2243
大宮,着,2155,2249
大宮,発,2156,2250
上尾,着,2204,2257
上尾,発,2205,2257
桶川,着,2208,2301
桶川,発,2209,2301
鴻巣,着,2215,2308
鴻巣,発,2216,2308
熊谷,着,2227,2320
熊谷,発,2227,2321
籠原,着,2233,2327
籠原,発,2238,2329
深谷,着,2242,2333
深谷,発,2242,2334
岡部,着,2246,2338
岡部,発,2246,2338
本庄,着,2251,2343
本庄,発,2251,2344
神保原,着,2255,2347
神保原,発,2255,2348
新町,着,2259,2352
新町,発,2259,2353
倉賀野,着,2305,2358
倉賀野,発,2305,2358
高崎,着,2310,004
高崎,発,,006
備考,,,
