FileType,OuDia.JikokuhyouCsv.1
平日
上り

列車番号,,2183H,1946E,2868Y,1261M,1948E,2181H,724M,722M,1265M,1720M,2241H,728M,2870Y,726M,520M,2231H,1269M,730M,1271M,734M,732M
列車種別,,,,,,,,,,,,,,,,,,,,,,
列車名,,,,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
熱海,着,,,,,,,,,,,,,,,2206,,,,,,
熱海,発,,,,,,,2140,,,,,2209,,,2220,,,2235,,2307,
湯河原,着,,,,,,,2145,,,,,2214,,,2225,,,2240,,2312,
湯河原,発,,,,,,,2145,,,,,2214,,,2225,,,2240,,2313,
真鶴,着,,,,,,,2148,,,,,2217,,,2228,,,2244,,2316,
真鶴,発,,,,,,,2149,,,,,2218,,,2229,,,2244,,2316,
根府川,着,,,,,,,2154,,,,,2223,,,2234,,,2249,,2321,
根府川,発,,,,,,,2154,,,,,2223,,,2234,,,2249,,2322,
早川,着,,,,,,,2158,,,,,2227,,,2238,,,2253,,2326,
早川,発,,,,,,,2159,,,,,2228,,,2239,,,2254,,2326,
小田原,着,,,,,,,2201,,,,,2230,,,2241,,,2256,,2330,
小田原,発,,2106,,,2130,,2202,2152,,,,2231,,2216,2242,,,2257,,,2310
鴨宮,着,,2109,,,2133,,2205,2156,,,,2234,,2220,2244,,,2300,,,2313
鴨宮,発,,2109,,,2133,,2205,2156,,,,2234,,2220,2245,,,2300,,,2314
国府津,着,,2112,,,2136,,2209,2159,,,,2237,,2223,2248,,,2303,,,2317
国府津,発,,2113,,,2137,,2211,2200,,,,2238,2215,2224,2249,,,2304,,,2317
二宮,着,,2117,,,2140,,2214,2204,,,,2241,2219,2228,2252,,,2308,,,2321
二宮,発,,2118,,,2141,,2215,2204,,,,2242,2220,2228,2252,,,2308,,,2321
大磯,着,,2123,,,2145,,2219,2209,,,,2246,2224,2233,2257,,,2313,,,2326
大磯,発,,2123,,,2146,,2220,2209,,,,2247,2224,2233,2257,,,2313,,,2326
平塚,着,,2127,,,2149,,2223,2213,,,,2250,2227,2236,2301,,,2317,,,2330
平塚,発,,2129,2120,,2149,,2224,2216,,2202,,2250,2228,2237,2305,,,2318,,,2330
茅ケ崎,着,,2134,2126,,2154,,2229,2220,,2207,,2255,2232,2241,2310,,,2322,,,2335
茅ケ崎,発,,2134,2126,,2154,,2229,2221,,2207,,2255,2233,2242,2311,,,2323,,,2335
辻堂,着,,2138,2130,,2157,,2232,2224,,2210,,2258,2236,2245,2314,,,2326,,,2338
辻堂,発,,2138,2130,,2158,,2233,2225,,2211,,2259,2236,2246,2314,,,2327,,,2339
藤沢,着,,2142,2134,,2201,,2236,2228,,2214,,2302,2239,2249,2317,,,2330,,,2342
藤沢,発,,2142,2135,,2201,,2237,2229,,2214,,2302,2240,2250,2318,,,2330,,,2343
大船,着,,2147,2139,,2205,,2241,2233,,2218,,2306,2244,2254,2322,,,2334,,,2347
大船,発,,2148,2141,,2206,,2241,2234,,2219,,2307,2245,2255,2322,,,2335,,,2347
戸塚,着,,2153,,,2210,,2246,2239,,2224,,2311,,2300,2327,,,2340,,,2352
戸塚,発,,2154,,,2211,,2247,2239,,2224,,2312,,2300,2327,,,2340,,,2353
横浜,着,,2203,,,2220,,2257,2249,,2234,,2321,,2310,2336,,,2349,,,005
横浜,発,,2203,,,2221,,2259,2250,,2235,,2322,,2310,2337,,,2350,,,007
川崎,着,,2211,,,2229,,2308,2258,,2243,,2329,,2318,2345,,,2358,,,015
川崎,発,,2211,,,2229,,2308,2258,,2243,,2330,,2318,2345,,,2358,,,016
品川,着,,2220,,,2238,,2317,2307,,2252,,2338,,2327,2355,,,007,,,025
品川,発,2104,2221,,2124,2239,2132,2318,2308,2154,2253,2202,2339,,2328,,2224,2234,,2255,,
新橋,着,2109,2225,,2129,2243,2137,2322,2312,2159,2257,2207,2343,,2332,,2229,2238,,2259,,
新橋,発,2109,2226,,2130,2244,2137,2323,2313,2200,2257,2207,2343,,2333,,2229,2239,,2300,,
東京,着,2113,2229,,2132,2247,2141,2326,2316,2203,2300,2212,2346,,2336,,2233,2242,,2303,,
東京,発,2113,2230,,2133,2248,2141,,,2204,,2212,,,,,2233,2243,,2304,,
備考,,,,,,,,,,,,,,,,,,,,,,
