FileType,OuDia.JikokuhyouCsv.1
平日
下り

列車番号,,2863Y,1941E,2080H,1629E,2865Y,1943E,1631E,1260M,2040H,1945E,1633E,2867Y,2130H,1947E,1949E,1635E,1951E,1266M,1637E,2869Y,1953E,1639E,733M,735M,2871Y,737M,739M,1741M,2873Y,743M
列車種別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京,着,,2100,2105,2111,,2123,2130,2134,2139,2141,2152,,2157,2201,2210,2221,2230,2234,2239,,2250,2300,,,,,,,,
東京,発,,2102,2105,2113,,2124,2132,2135,2139,2142,2153,,2157,2202,2212,2222,2232,2235,2242,,2252,2302,2312,2322,,2333,2339,2347,,2354
新橋,着,,2105,2108,2115,,2127,2135,2138,2142,2145,2155,,2200,2205,2214,2224,2235,2238,2244,,2254,2304,2315,2324,,2335,2341,2350,,2357
新橋,発,,2106,2108,2116,,2127,2136,2138,2142,2146,2156,,2200,2206,2215,2225,2236,2238,2245,,2255,2305,2315,2325,,2336,2342,2350,,2357
品川,着,,2111,2113,2121,,2132,2142,2144,2147,2151,2201,,2205,2211,2220,2230,2242,2244,2250,,2300,2310,2321,2330,,2341,2347,2356,,002
品川,発,,2112,,2122,,2133,2143,,,2152,2203,,,2212,2221,2231,2243,,2252,,2302,2311,2322,2331,,2342,2348,2358,,004
川崎,着,,2121,,2131,,2142,2152,,,2200,2211,,,2220,2230,2240,2251,,2300,,2310,2320,2330,2340,,2351,2357,007,,013
川崎,発,,2122,,2132,,2142,2152,,,2201,2212,,,2221,2231,2240,2252,,2301,,2311,2321,2331,2340,,2351,2358,008,,013
横浜,着,,2130,,2140,,2150,2201,,,2209,2220,,,2229,2239,2248,2300,,2309,,2319,2329,2339,2348,,2359,006,016,,021
横浜,発,,2131,,2142,,2151,2202,,,2210,2221,,,2230,2241,2249,2301,,2310,,2320,2330,2340,2349,,000,007,017,,024
戸塚,着,,2141,,2152,,2200,2212,,,2219,2230,,,2240,2251,2259,2310,,2320,,2329,2339,2349,2358,,010,016,026,,034
戸塚,発,,2141,,2153,,2201,2212,,,2220,2231,,,2240,2252,2259,2311,,2320,,2330,2340,2350,2359,,010,017,027,,036
大船,着,2100,2146,,2158,2120,2206,2218,,,2225,2236,2154,,2245,2256,2304,2316,,2325,2249,2335,2345,2355,004,2329,015,022,032,2348,041
大船,発,2100,2147,,2159,2121,2206,2218,,,2231,2239,2155,,2246,2257,2305,2317,,2326,2250,2336,2346,2356,004,2331,016,023,033,2349,041
