FileType,OuDia.JikokuhyouCsv.1
平日
上り

列車番号,,688M,558M,562M,346M,560M,564M,690M,566M,2544M
列車種別,,,,,,,,,,
列車名,,,,,,,,,,
号数,,,,,,,,,,
,,,,,,,,,,
黒磯,着,,,,,,,,,
黒磯,発,2109,,,,,,2153,,
那須塩原,着,2115,,,,,,2157,,
那須塩原,発,2115,,,,,,2158,,
西那須野,着,2120,,,,,,2203,,
西那須野,発,2120,,,,,,2203,,
野崎,着,2125,,,,,,2207,,
野崎,発,2125,,,,,,2208,,
矢板,着,2130,,,,,,2212,,
矢板,発,2130,,,,,,2212,,
片岡,着,2135,,,,,,2217,,
片岡,発,2136,,,,,,2217,,
蒲須坂,着,2139,,,,,,2221,,
蒲須坂,発,2140,,,,,,2221,,
氏家,着,2143,,,,,,2225,,
氏家,発,2144,,,,,,2226,,
宝積寺,着,2149,,,2135,,,2230,,
宝積寺,発,2149,,,2141,,,2231,,
岡本,着,2154,,,2146,,,2235,,
岡本,発,2154,,,2146,,,2236,,
宇都宮,着,2201,,,2153,,,2241,,
宇都宮,発,,,2136,,,2150,,2220,2242
雀宮,着,,,2143,,,2156,,2227,2249
雀宮,発,,,2143,,,2156,,2227,2249
石橋,着,,,2148,,,2201,,2232,2254
石橋,発,,,2149,,,2202,,2232,2255
自治医大,着,,,2152,,,2205,,2236,2258
自治医大,発,,,2153,,,2206,,2237,2259
小金井,着,,,2155,,,2208,,2239,2301
小金井,発,,2129,2156,,2147,2209,,2240,2302
小山,着,,2135,2202,,2154,2216,,2245,2308
小山,発,,2136,2204,,2155,2220,,2246,2308
間々田,着,,2141,2210,,2200,2226,,2251,2313
間々田,発,,2142,2210,,2201,2227,,2252,2314
野木,着,,2145,2214,,2204,2230,,2255,2317
野木,発,,2145,2214,,2204,2231,,2256,2318
古河,着,,2151,2218,,2208,2235,,2259,2321
古河,発,,2156,2218,,2209,2236,,2300,2322
栗橋,着,,2202,2224,,2215,2242,,2306,2328
栗橋,発,,2203,2225,,2215,2243,,2306,2328
東鷲宮,着,,2207,2229,,2220,2247,,2311,2333
東鷲宮,発,,2208,2230,,2220,2248,,2311,2333
久喜,着,,2210,2232,,2223,2250,,2314,2336
久喜,発,,2211,2233,,2223,2251,,2314,2336
新白岡,着,,2214,2236,,2226,2254,,2317,2339
新白岡,発,,2214,2236,,2227,2254,,2318,2340
白岡,着,,2217,2239,,2229,2257,,2320,2342
白岡,発,,2217,2239,,2230,2257,,2321,2343
蓮田,着,,2221,2243,,2233,2301,,2325,2346
蓮田,発,,2221,2244,,2234,2302,,2325,2347
東大宮,着,,2225,2247,,2237,2305,,2328,2350
東大宮,発,,2225,2247,,2238,2305,,2329,2351
土呂,着,,2228,2250,,2240,2308,,2331,2353
土呂,発,,2228,2250,,2240,2308,,2332,2353
大宮,着,,2232,2254,,2243,2311,,2335,2357
大宮,発,,2234,2255,,2244,2312,,2335,
さいたま新都心,着,,2237,2257,,2247,2314,,2337,
さいたま新都心,発,,2237,2258,,2248,2315,,2338,
浦和,着,,2241,2302,,2252,2319,,2342,
浦和,発,,2242,2302,,2252,2319,,2342,
赤羽,着,,2250,2310,,2300,2327,,2350,
赤羽,発,,2250,2311,,2301,2328,,2351,
尾久,着,,2254,2315,,2305,2332,,2355,
尾久,発,,2255,2316,,2305,2332,,2355,
上野,着,,2300,2322,,2311,2338,,001,
上野,発,,,,,,,,,
備考,,,,,,,,,,
