FileType,OuDia.JikokuhyouCsv.1
平日
下り

列車番号,,559M,2560Y,1646E,1648E,3540E,2562Y,561M,695M,1650E,1652E,2564Y,1654E,563M,2566Y,565M
列車種別,,,,,,,,,,,,,,,,
列車名,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
上野,着,,,2114,2135,2150,,,,2225,2245,,2313,,,
上野,発,2108,,2115,2136,2151,,2204,,2227,2246,,2314,2327,,2338
尾久,着,2113,,2120,2141,2156,,2209,,2232,2251,,2319,2333,,2343
尾久,発,2114,,2120,2141,2156,,2210,,2232,2251,,2319,2334,,2344
赤羽,着,2118,,2124,2145,2200,,2214,,2237,2255,,2323,2338,,2348
赤羽,発,2118,,2125,2146,2201,,2214,,2237,2256,,2324,2339,,2349
浦和,着,2126,,2133,2154,2209,,2222,,2245,2304,,2332,2347,,2357
浦和,発,2127,,2133,2154,2209,,2223,,2246,2304,,2332,2348,,2358
さいたま新都心,着,2131,,2137,2158,2213,,2227,,2250,2308,,2336,2352,,002
さいたま新都心,発,2131,,2138,2159,2213,,2227,,2250,2309,,2337,2352,,002
大宮,着,2134,2109,2140,2201,2216,2156,2230,,2253,2311,2248,2339,2355,2331,005
大宮,発,2135,2110,2141,2203,2217,2157,2231,,2255,2312,2249,2341,2356,2332,008
土呂,着,2138,2113,2144,2206,2220,2201,2234,,2258,2315,2252,2344,2359,2335,011
土呂,発,2138,2114,2145,2207,2220,2202,2234,,2258,2316,2253,2345,000,2336,011
東大宮,着,2141,2116,2147,2209,2222,2204,2236,,2301,2318,2255,2347,002,2338,013
東大宮,発,2141,2116,2147,2209,2223,2205,2237,,2301,2318,2255,2347,002,2338,014
蓮田,着,2144,2120,2151,2213,2226,2208,2240,,2305,2322,2259,2351,006,2342,017
蓮田,発,2145,2120,2151,2213,2227,2209,2241,,2305,2322,2259,2351,006,2342,018
白岡,着,2149,2124,2155,2217,2230,2212,2244,,2309,2326,2303,2355,010,2346,021
白岡,発,2149,2125,2155,2217,2231,2213,2245,,2310,2326,2303,2355,010,2346,022
新白岡,着,2152,2128,2158,2220,2233,2215,2247,,2312,2329,2306,2358,013,2349,024
新白岡,発,2152,2128,2158,2220,2233,2216,2248,,2313,2329,2306,2358,013,2349,025
久喜,着,2155,2131,2202,2223,2236,2219,2251,,2316,2333,2309,001,016,2352,028
久喜,発,2156,2132,2207,2224,2237,2219,2251,,2317,2333,2310,002,017,2353,028
東鷲宮,着,2158,2134,2210,2226,2239,2222,2254,,2319,2336,2312,005,020,2356,031
東鷲宮,発,2159,2135,2211,2227,2240,2222,2255,,2320,2336,2313,005,020,2356,031
栗橋,着,2203,2139,2215,2231,2244,2227,2259,,2324,2341,2317,010,025,001,036
栗橋,発,2204,2140,2216,2232,2245,2227,2300,,2325,2342,2318,010,025,002,036
古河,着,2212,2146,2222,2238,2251,2233,2306,,2331,2348,2324,016,031,008,042
古河,発,,2146,2223,2238,2251,2234,2306,,2331,2348,2324,017,032,008,043
野木,着,,2150,2226,2242,2255,2238,2310,,2335,2352,2328,020,035,012,047
野木,発,,2151,2227,2242,2255,2238,2310,,2336,2353,2329,021,036,013,047
間々田,着,,2154,2230,2246,2259,2241,2314,,2339,2356,2332,024,039,016,051
間々田,発,,2155,2231,2246,2259,2242,2314,,2340,2357,2333,025,040,016,051
小山,着,,2200,2237,2252,2305,2247,2320,,2345,002,2338,031,045,022,057
小山,発,,2202,2237,2254,2312,2248,2320,,2346,003,2339,032,046,023,057
小金井,着,,2210,2244,2301,2318,2254,2327,,2352,008,2345,038,052,030,104
小金井,発,,,,,2319,2300,,,,009,,044,,,105
自治医大,着,,,,,2322,2302,,,,012,,046,,,108
自治医大,発,,,,,2322,2303,,,,012,,047,,,108
石橋,着,,,,,2326,2307,,,,016,,051,,,112
石橋,発,,,,,2326,2308,,,,017,,051,,,112
雀宮,着,,,,,2331,2313,,,,022,,056,,,117
雀宮,発,,,,,2332,2313,,,,022,,057,,,118
宇都宮,着,,,,,2339,2320,,,,029,,104,,,125
宇都宮,発,,,,,,,,2205,,,,,,,
岡本,着,,,,,,,,2211,,,,,,,
岡本,発,,,,,,,,2211,,,,,,,
宝積寺,着,,,,,,,,2216,,,,,,,
宝積寺,発,,,,,,,,2216,,,,,,,
氏家,着,,,,,,,,2221,,,,,,,
氏家,発,,,,,,,,2222,,,,,,,
蒲須坂,着,,,,,,,,2225,,,,,,,
蒲須坂,発,,,,,,,,2226,,,,,,,
片岡,着,,,,,,,,2229,,,,,,,
片岡,発,,,,,,,,2230,,,,,,,
矢板,着,,,,,,,,2235,,,,,,,
矢板,発,,,,,,,,2235,,,,,,,
野崎,着,,,,,,,,2240,,,,,,,
野崎,発,,,,,,,,2240,,,,,,,
西那須野,着,,,,,,,,2244,,,,,,,
西那須野,発,,,,,,,,2245,,,,,,,
那須塩原,着,,,,,,,,2250,,,,,,,
那須塩原,発,,,,,,,,2250,,,,,,,
黒磯,着,,,,,,,,2255,,,,,,,
黒磯,発,,,,,,,,,,,,,,,
備考,,,,,,,,,,,,,,,,
