FileType,OuDia.JikokuhyouCsv.1
平日
上り

列車番号,,2171G,2125G,2207G,2209G,2229G,2211G,2241G,2235G,2273G,2237G,2243G,2217G,2245G,2201G,2247G,2221G,2371G,2325G,2307G,2309G,2329G,2311G,2341G,2335G,2337G,2343G,2317G,2345G,2301G,2447G,2471G,2407G,2429G,2435G
列車種別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大崎,着,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大崎,発,2156,2159,2203,2208,2212,2217,2221,2225,2229,2232,2236,2241,2245,2250,2254,2258,2301,2305,2308,2314,2318,2324,2328,2332,2338,2342,2347,2352,2356,000,006,013,024,042
五反田,着,2157,2201,2205,2209,2214,2218,2223,2227,2230,2234,2238,2243,2247,2252,2256,2300,2303,2307,2310,2315,2320,2326,2330,2334,2340,2344,2349,2354,2358,002,008,015,026,043
五反田,発,2157,2201,2205,2209,2214,2218,2223,2227,2230,2234,2238,2243,2247,2252,2256,2300,2303,2307,2310,2315,2320,2326,2330,2334,2340,2344,2349,2354,2358,002,008,015,026,043
目黒,着,2200,2203,2207,2212,2216,2221,2225,2229,2233,2236,2240,2245,2249,2254,2258,2302,2305,2309,2312,2318,2322,2328,2332,2336,2342,2346,2351,2356,000,004,010,017,028,046
目黒,発,2200,2203,2207,2212,2216,2221,2225,2229,2233,2236,2240,2245,2249,2254,2258,2302,2305,2309,2312,2318,2322,2328,2332,2336,2342,2346,2351,2356,000,004,010,017,028,046
恵比寿,着,2202,2206,2210,2214,2219,2223,2228,2232,2235,2239,2243,2248,2252,2257,2301,2305,2308,2312,2315,2320,2325,2331,2335,2339,2344,2349,2353,2358,003,007,013,020,030,048
恵比寿,発,2202,2206,2210,2214,2219,2223,2228,2232,2235,2239,2243,2248,2252,2257,2301,2305,2308,2312,2315,2320,2325,2331,2335,2339,2344,2349,2353,2358,003,007,013,020,030,048
渋谷,着,2205,2209,2213,2217,2222,2227,2231,2235,2239,2242,2246,2250,2255,2300,2304,2308,2311,2315,2318,2323,2328,2334,2338,2342,2347,2351,2356,001,007,010,016,023,033,052
渋谷,発,2205,2209,2213,2217,2222,2227,2231,2235,2239,2242,2246,2250,2255,2300,2304,2308,2311,2315,2318,2323,2328,2334,2338,2342,2347,2351,2356,001,007,010,016,023,033,052
原宿,着,2208,2211,2215,2220,2224,2229,2233,2237,2241,2244,2248,2253,2258,2303,2306,2310,2313,2317,2320,2326,2330,2336,2341,2345,2350,2354,2359,004,009,013,018,025,036,055
