FileType,OuDia.JikokuhyouCsv.1
平日
下り

列車番号,,2206G,2208G,2262G,2222G,2224G,2332G,2312G,2334G,2314G,2328G,2372G,2364G,2354G,2306G,2308G,2322G,2424G,2412G,2414G,2428G,2464G,2406G,112G
列車種別,,,,,,,,,,,,,,,,,,,,,,,,
列車名,,,,,,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
大崎,着,,,,,,,,,,,,,,,,,,,,,,,
大崎,発,2237,2242,2247,2252,2257,2302,2306,2312,2317,2323,2327,2332,2337,2343,2350,2357,003,011,023,028,037,049,116
品川,着,2240,2246,2250,2255,2300,2305,2309,2315,2321,2326,2330,2335,2340,2347,2353,000,006,014,026,031,040,052,119
品川,発,2240,2246,2250,2255,2300,2305,2309,2315,2321,2326,2330,2335,2340,2347,2353,000,,014,026,,,,
田町,着,2243,2249,2253,2258,2303,2308,2312,2318,2323,2329,2333,2338,2343,2350,2356,003,,017,029,,,,
田町,発,2243,2249,2253,2258,2303,2308,2312,2318,2323,2329,2333,2338,2343,2350,2356,003,,017,029,,,,
浜松町,着,2246,2251,2256,2300,2305,2310,2314,2320,2326,2331,2335,2341,2345,2352,2358,006,,019,031,,,,
浜松町,発,2246,2251,2256,2300,2305,2310,2314,2320,2326,2331,2335,2341,2345,2352,2358,006,,019,031,,,,
新橋,着,2248,2253,2258,2302,2308,2312,2317,2322,2328,2333,2338,2343,2348,2354,000,008,,021,033,,,,
新橋,発,2248,2253,2258,2302,2308,2312,2317,2322,2328,2333,2338,2343,2348,2354,000,008,,021,033,,,,
有楽町,着,2250,2255,2300,2304,2310,2314,2319,2324,2330,2335,2340,2345,2350,2356,002,010,,023,035,,,,
有楽町,発,2250,2255,2300,2304,2310,2314,2319,2324,2330,2335,2340,2345,2350,2356,002,010,,023,035,,,,
東京,着,2252,2257,2302,2307,2312,2317,2321,2327,2332,2337,2342,2347,2352,2358,005,012,,026,037,,,,
東京,発,2252,2257,2302,2307,2312,2317,2321,2327,2332,2337,2342,2347,2352,2358,005,012,,026,037,,,,
神田,着,2254,2300,2304,2309,2314,2319,2323,2329,2334,2340,2344,2349,2354,001,007,014,,028,040,,,,
神田,発,2254,2300,2304,2309,2314,2319,2323,2329,2334,2340,2344,2349,2354,001,007,014,,028,040,,,,
秋葉原,着,2256,2301,2306,2311,2316,2321,2325,2331,2336,2341,2346,2351,2356,002,009,016,,030,042,,,,
秋葉原,発,2256,2301,2306,2311,2316,2321,2325,2331,2336,2341,2346,2351,2356,002,009,016,,030,042,,,,
御徒町,着,2258,2303,2308,2313,2318,2323,2327,2333,2338,2343,2348,2353,2358,004,011,018,,032,044,,,,
