FileType,OuDia.JikokuhyouCsv.1
平日
上り

列車番号,,2184S,2132S,2564Y,2180S,2190S,2194S,2168S,2106S,2212S,2234S,3832M,2220S,2352S
列車種別,,,,,,,,,,,,,,
列車名,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
久里浜,着,,,,,,,,,,,,,
久里浜,発,2101,,,2114,2131,,,2152,2212,2239,,2255,2311
衣笠,着,2106,,,2119,2136,,,2158,2218,2244,,2301,2316
衣笠,発,2106,,,2119,2136,,,2158,2218,2244,,2301,2316
横須賀,着,2111,,,2124,2141,,,2202,2223,2249,,2305,2321
横須賀,発,2111,2102,,2124,2141,2132,2149,2202,2223,2249,,2305,2321
田浦,着,2114,2105,,2127,2144,2135,2152,2205,2226,2252,,2308,2324
田浦,発,2114,2105,,2127,2144,2135,2152,2205,2226,2252,,2308,2324
東逗子,着,2118,2109,,2131,2148,2139,2156,2209,2229,2256,,2312,2328
東逗子,発,2118,2109,,2131,2148,2139,2156,2209,2229,2256,,2312,2328
逗子,着,2121,2113,,2134,2151,2143,2159,2213,2233,2259,,2316,2331
逗子,発,2125,2116,2111,2138,2155,2146,2205,2216,2236,2303,2246,2316,2335
鎌倉,着,2129,2120,2116,2142,2159,2150,2209,2220,2241,2307,2250,2320,2339
鎌倉,発,2129,2120,2116,2142,2159,2150,2209,2220,2241,2307,2251,2320,2339
北鎌倉,着,2132,2123,2119,2145,2202,2153,2212,2223,2244,2310,2254,2323,2342
北鎌倉,発,2132,2123,2120,2145,2202,2153,2212,2223,2244,2310,2254,2323,2342
大船,着,2136,2127,2123,2149,2206,2157,2216,2227,2250,2314,2258,2326,2347
大船,発,2136,2127,2124,2149,2206,,2216,2227,2250,2314,,2326,2347
戸塚,着,2141,2132,,2154,2211,,2221,2233,2255,2319,,2331,2353
戸塚,発,2141,2132,,2154,2211,,2221,2233,2255,2319,,2331,2353
東戸塚,着,2144,2136,,2157,2215,,2225,2236,2258,2322,,2335,2357
東戸塚,発,2144,2136,,2157,2215,,2225,2236,2258,2322,,2335,2357
保土ケ谷,着,2149,2141,,2202,2219,,2230,2241,2303,2327,,2340,001
保土ケ谷,発,2149,2141,,2202,2219,,2230,2241,2303,2327,,2340,001
横浜,着,2152,2144,,2205,2223,,2233,2244,2306,2330,,2343,005
横浜,発,2152,2144,,2205,2223,,2233,2244,2306,2330,,2343,005
新川崎,着,2201,2153,,2214,2232,,2242,2253,2315,2339,,2352,014
新川崎,発,2201,2153,,2214,2232,,2242,2253,2315,2339,,2352,014
武蔵小杉,着,2205,2157,,2218,2235,,2245,2257,2319,2343,,2355,017
武蔵小杉,発,2205,2157,,2218,2235,,2245,2257,2319,2343,,2355,017
西大井,着,2210,2202,,2223,2240,,2251,2302,2324,2348,,001,022
西大井,発,2210,2202,,2223,2240,,2251,2302,2324,2348,,001,022
品川,着,2216,2208,,2228,2245,,2256,2307,2329,2353,,006,027
品川,発,2216,2208,,2228,2245,,2256,2307,2329,2353,,006,
新橋,着,2221,2212,,2233,2249,,2300,2312,2333,2357,,010,
新橋,発,2221,2212,,2233,2249,,2300,2312,2333,2357,,010,
東京,着,2224,2215,,2236,2252,,2303,2315,2336,000,,013,
東京,発,2230,2219,,2239,2255,,2304,2316,2337,001,,,
備考,,,,,,,,,,,,,,
