FileType,OuDia.JikokuhyouCsv.1
平日
下り

列車番号,,1935S,2021S,1953S,2009S,2137S,2061S,2089S,2567Y,2129S,2165S,2569Y,2245S,2171S,2263S,2277S,2333S
列車種別,,,,,,,,,,,,,,,,,
列車名,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
東京,着,2059,2109,2122,2134,2139,2155,2204,,2215,2225,,2245,2300,2321,2332,2349
東京,発,2100,2112,2124,2135,2140,2156,2208,,2220,2230,,2247,2304,2322,2335,2350
新橋,着,2103,2115,2127,2138,2143,2159,2211,,2223,2233,,2250,2307,2325,2338,2353
新橋,発,2103,2115,2127,2138,2143,2159,2211,,2223,2233,,2250,2307,2325,2338,2353
品川,着,2108,2121,2133,2143,2149,2204,2217,,2228,2238,,2256,2312,2331,2343,2359
品川,発,2108,2121,2133,2143,2149,2204,2217,,2228,2238,,2256,2312,2331,2343,2359
西大井,着,2113,2125,2137,2148,2153,2209,2221,,2233,2243,,2300,2317,2335,2348,003
西大井,発,2113,2125,2137,2148,2153,2209,2221,,2233,2243,,2300,2317,2335,2348,003
武蔵小杉,着,2118,2131,2143,2153,2159,2214,2227,,2238,2248,,2306,2322,2341,2353,009
武蔵小杉,発,2118,2131,2143,2153,2159,2214,2227,,2238,2248,,2306,2322,2341,2353,009
新川崎,着,2121,2134,2146,2156,2202,2217,2230,,2241,2251,,2309,2325,2344,2356,012
新川崎,発,2121,2134,2146,2156,2202,2217,2230,,2241,2251,,2309,2325,2344,2356,012
横浜,着,2131,2143,2155,2206,2212,2228,2239,,2251,2301,,2318,2336,2356,008,023
横浜,発,2131,2143,2155,2206,2212,2228,2240,,2251,2301,,2318,2336,2356,008,023
保土ケ谷,着,2134,2146,2158,2209,2215,2231,2243,,2254,2304,,2321,2339,2359,011,026
保土ケ谷,発,2134,2146,2158,2209,2215,2231,2243,,2254,2304,,2321,2339,2359,011,026
東戸塚,着,2139,2151,2203,2214,2220,2236,2248,,2259,2309,,2326,2344,004,016,031
東戸塚,発,2139,2151,2203,2214,2220,2236,2248,,2259,2309,,2326,2344,004,016,031
戸塚,着,2143,2155,2207,2218,2224,2241,2252,,2303,2313,,2330,2350,010,020,037
戸塚,発,2143,2155,2207,2218,2224,2241,2252,,2303,2313,,2330,2350,010,020,037
大船,着,2148,2201,2214,2223,2230,2246,2257,2210,2310,2319,2236,2337,2355,016,025,043
大船,発,2148,2201,2214,,2230,2246,2259,2211,2310,2319,2239,2337,2355,016,,043
北鎌倉,着,2151,2204,2217,,2233,2249,2302,2214,2313,2322,2242,2340,2358,019,,046
北鎌倉,発,2151,2204,2217,,2233,2249,2302,2214,2313,2322,2242,2340,2358,019,,046
鎌倉,着,2154,2207,2221,,2236,2253,2305,2217,2316,2325,2245,2343,002,022,,049
鎌倉,発,2154,2207,2221,,2236,2253,2305,2218,2316,2325,2246,2343,002,022,,049
逗子,着,2200,2213,2226,,2242,2258,2311,2223,2321,2330,2251,2348,007,028,,054
逗子,発,2203,2217,2230,,2246,2302,2314,,2325,2334,,2352,011,031,,
東逗子,着,2206,2220,2232,,2248,2304,2317,,2327,2337,,2355,013,034,,
東逗子,発,2206,2220,2232,,2248,2304,2317,,2327,2337,,2355,013,034,,
田浦,着,2210,2224,2236,,2252,2308,2321,,2331,2341,,2359,017,038,,
田浦,発,2210,2224,2236,,2252,2308,2321,,2331,2341,,2359,017,038,,
横須賀,着,2213,2227,2240,,2256,2312,2324,,2335,2344,,002,021,041,,
横須賀,発,2213,2227,2240,,2256,2312,2324,,2335,2344,,002,021,041,,
衣笠,着,2218,2232,2245,,2301,2317,2329,,2339,2349,,007,025,046,,
衣笠,発,2218,2232,2245,,2301,2317,2329,,2339,2349,,007,025,046,,
久里浜,着,2224,2237,2251,,2307,2322,2335,,2345,2355,,013,031,051,,
久里浜,発,,,,,,,,,,,,,,,,
備考,,,,,,,,,,,,,,,,,
